Date,Monthly Value,Accumulated Value
2021-06,2,2
2021-07,2,4
2021-08,1,5
2021-09,1,6
2021-10,1,7
2021-11,1,8
2021-12,1,9
2022-01,1,10
2022-02,1,11
2022-03,1,12
2022-04,2,14
2022-05,2,16
2022-06,2,18
2022-07,2,20
2022-08,4,24
2022-09,4,28
2022-10,4,32
2022-11,4,36
2022-12,4,40
2023-01,4,44
2023-02,4,48
2023-03,4,52
2023-04,5,57
2023-05,5,62
2023-06,4,66
2023-07,4,70
2023-08,4,74
2023-09,4,78
2023-10,4,82
2023-11,4,86
2023-12,5,91
2024-01,5,96
2024-02,5,101
2024-03,5,106
2024-04,5,111
2024-05,5,116
2024-06,5,121
2024-07,5,126
2024-08,5,131
2024-09,5,136
2024-10,6,142
