Date,Monthly Value,Accumulated Value
2018-03,21,21
2018-04,18,39
2018-05,16,55
2018-06,9,64
2018-07,10,74
2018-08,21,95
2018-09,19,114
2018-10,28,142
2018-11,34,176
2018-12,22,198
2019-01,34,232
2019-02,20,252
2019-03,33,285
2019-04,38,323
2019-05,22,345
2019-06,25,370
2019-07,39,409
2019-08,31,440
2019-09,17,457
2019-10,19,476
2019-11,20,496
2019-12,9,505
2020-01,20,525
2020-02,19,544
2020-03,37,581
2020-04,31,612
2020-05,25,637
2020-06,33,670
2020-07,33,703
2020-08,15,718
2020-09,44,762
2020-10,23,785
2020-11,52,837
2020-12,29,866
2021-01,20,886
2021-02,28,914
2021-03,36,950
2021-04,41,991
2021-05,25,1016
2021-06,35,1051
2021-07,26,1077
2021-08,22,1099
2021-09,47,1146
2021-10,41,1187
2021-11,40,1227
2021-12,47,1274
2022-01,50,1324
2022-02,32,1356
2022-03,41,1397
2022-04,25,1422
2022-05,28,1450
2022-06,26,1476
2022-07,21,1497
2022-08,19,1516
2022-09,29,1545
2022-10,30,1575
2022-11,17,1592
2022-12,25,1617
2023-01,38,1655
2023-02,24,1679
2023-03,30,1709
2023-04,20,1729
2023-05,14,1743
2023-06,30,1773
2023-07,30,1803
2023-08,29,1832
2023-09,24,1856
2023-10,26,1882
2023-11,26,1908
2023-12,16,1924
2024-01,13,1937
2024-02,15,1952
2024-03,20,1972
2024-04,22,1994
2024-05,37,2031
2024-06,25,2056
2024-07,25,2081
2024-08,28,2109
2024-09,26,2135
2024-10,23,2158
