Date,Monthly Value,Accumulated Value
2018-03,3.23,3.23
2018-04,5.14,8.37
2018-05,5.4,13.77
2018-06,6.75,20.52
2018-07,5.99,26.509999999999998
2018-08,7.92,34.43
2018-09,8.8,43.230000000000004
2018-10,10.22,53.45
2018-11,14.18,67.63
2018-12,13.06,80.69
2019-01,13.84,94.53
2019-02,16.17,110.7
2019-03,14.91,125.61
2019-04,18.15,143.76
2019-05,16.22,159.98
2019-06,17.26,177.23999999999998
2019-07,17.82,195.05999999999997
2019-08,19.32,214.37999999999997
2019-09,15.16,229.53999999999996
2019-10,16.76,246.29999999999995
2019-11,16.14,262.43999999999994
2019-12,13.77,276.2099999999999
2020-01,13.48,289.68999999999994
2020-02,14.82,304.50999999999993
2020-03,18.91,323.41999999999996
2020-04,18.44,341.85999999999996
2020-05,19,360.85999999999996
2020-06,22.65,383.50999999999993
2020-07,22.47,405.9799999999999
2020-08,19.98,425.9599999999999
2020-09,17.56,443.5199999999999
2020-10,18.14,461.6599999999999
2020-11,18.5,480.1599999999999
2020-12,15.68,495.8399999999999
2021-01,13.94,509.7799999999999
2021-02,12.85,522.6299999999999
2021-03,14.64,537.2699999999999
2021-04,17.48,554.7499999999999
2021-05,18.31,573.0599999999998
2021-06,18.19,591.2499999999999
2021-07,19.02,610.2699999999999
2021-08,19.08,629.3499999999999
2021-09,19.14,648.4899999999999
2021-10,19,667.4899999999999
2021-11,17.11,684.5999999999999
2021-12,20.22,704.8199999999999
2022-01,21.42,726.2399999999999
2022-02,18.81,745.0499999999998
2022-03,17.46,762.5099999999999
2022-04,12.56,775.0699999999998
2022-05,15.56,790.6299999999998
2022-06,14.44,805.0699999999998
2022-07,14.63,819.6999999999998
2022-08,11.53,831.2299999999998
2022-09,13.31,844.5399999999997
2022-10,13.04,857.5799999999997
2022-11,13.88,871.4599999999997
2022-12,14.02,885.4799999999997
2023-01,15.87,901.3499999999997
2023-02,16.06,917.4099999999996
2023-03,17.01,934.4199999999996
2023-04,12.56,946.9799999999996
2023-05,10.53,957.5099999999995
2023-06,11.9,969.4099999999995
2023-07,12.31,981.7199999999995
2023-08,12.47,994.1899999999995
2023-09,11.7,1005.8899999999995
2023-10,12.76,1018.6499999999995
2023-11,13.79,1032.4399999999996
2023-12,12.8,1045.2399999999996
2024-01,9.33,1054.5699999999995
2024-02,10.28,1064.8499999999995
2024-03,8.47,1073.3199999999995
2024-04,6.92,1080.2399999999996
2024-05,7.32,1087.5599999999995
2024-06,8.3,1095.8599999999994
2024-07,8.24,1104.0999999999995
2024-08,5.11,1109.2099999999994
2024-09,4.69,1113.8999999999994
2024-10,4.34,1118.2399999999993
