Date,Monthly Value,Accumulated Value
2015-04,0.22,0.22
2015-08,0.98,1.2
2015-11,0.56,1.76
2016-02,0.66,2.42
2016-08,1.22,3.6399999999999997
2016-09,1.11,4.75
2016-10,1.55,6.3
2016-11,1.96,8.26
2016-12,1.01,9.27
2017-01,2.76,12.03
2017-02,0.82,12.85
2017-03,1.17,14.02
2017-04,1.8,15.82
2017-05,2.55,18.37
2017-06,5.82,24.19
2017-07,2.02,26.21
2017-08,0.64,26.85
2017-09,0.43,27.28
2017-10,0.73,28.01
2017-12,0.68,28.69
2018-01,4.38,33.07
2018-02,5.34,38.41
2018-03,4.82,43.23
2018-04,1.57,44.8
2018-06,2.83,47.629999999999995
2018-07,2.37,49.99999999999999
2018-09,1.04,51.03999999999999
2018-10,1.55,52.58999999999999
2019-01,1.45,54.03999999999999
2019-02,1.8,55.83999999999999
2019-03,1.85,57.68999999999999
2019-04,2.39,60.07999999999999
2019-06,1.84,61.919999999999995
2019-07,1.67,63.589999999999996
2019-11,0.57,64.16
2019-12,0.78,64.94
2020-01,0.85,65.78999999999999
2020-04,0.14,65.92999999999999
2020-05,0.47,66.39999999999999
2020-06,1.17,67.57
2020-12,0.27,67.83999999999999
2021-01,1.13,68.96999999999998
2021-02,1.55,70.51999999999998
2021-03,0.67,71.18999999999998
2021-09,0.86,72.04999999999998
2022-10,0.33,72.37999999999998
2022-11,0.21,72.58999999999997
2023-02,0.23,72.81999999999998
2023-05,0.1,72.91999999999997
2023-06,0.15,73.06999999999998
2023-08,0.71,73.77999999999997
2024-05,0.1,73.87999999999997
