Date,Monthly Value,Accumulated Value
2015-01,72,72
2015-02,26114,26186
2015-03,84,26270
2015-04,55,26325
2015-05,50,26375
2015-06,242,26617
2015-07,69,26686
2015-08,15,26701
2015-09,78,26779
2015-10,288,27067
2015-11,422,27489
2015-12,5754,33243
2016-01,3494,36737
2016-02,4143,40880
2016-03,176,41056
2016-04,232,41288
2016-05,339,41627
2016-06,679,42306
2016-07,1088,43394
2016-08,14162,57556
2016-09,177,57733
2016-10,2986,60719
2016-11,243,60962
2016-12,52,61014
2017-01,1736,62750
2017-02,252,63002
2017-03,98,63100
2017-04,313,63413
2017-05,11810,75223
2017-06,120,75343
2017-07,49,75392
2017-08,52,75444
2017-09,14,75458
2017-10,31,75489
2017-11,39,75528
2017-12,24,75552
2018-01,25596,101148
2018-02,457,101605
2018-03,10498,112103
2018-04,20,112123
2018-05,37,112160
2018-06,169,112329
2018-07,3,112332
2018-08,306,112638
2018-09,444,113082
2018-10,148,113230
2018-11,33,113263
2018-12,7,113270
2019-01,10,113280
2019-02,23,113303
2019-03,18,113321
2019-04,50,113371
2019-05,23,113394
2019-06,34,113428
2019-07,2,113430
2019-08,2,113432
2019-09,6,113438
2019-10,156,113594
2019-11,140,113734
2019-12,68,113802
2020-01,31,113833
2020-02,239,114072
2020-03,68,114140
2020-04,1306,115446
2020-05,302,115748
2020-06,531,116279
2020-07,1278,117557
2020-09,8,117565
2020-10,17,117582
2020-11,28,117610
2020-12,96,117706
2021-01,66,117772
2021-02,357,118129
2021-03,69,118198
2021-04,178,118376
2021-05,190,118566
2021-06,336,118902
2021-07,599,119501
2021-08,687,120188
2021-09,341,120529
2021-10,51,120580
2021-11,197,120777
2021-12,1631,122408
2022-01,239,122647
2022-02,78,122725
2022-03,192,122917
2022-04,116,123033
2022-05,149,123182
2022-06,83,123265
2022-07,126,123391
2022-08,99,123490
2022-09,87,123577
2022-10,44,123621
2022-11,166,123787
2022-12,189,123976
2023-01,87,124063
2023-02,162,124225
2023-03,310,124535
2023-04,17,124552
2023-05,200,124752
2023-06,282,125034
2023-07,68,125102
2023-08,292,125394
2023-09,61,125455
2023-10,225,125680
2023-11,607,126287
2023-12,1499,127786
2024-01,1893,129679
2024-02,1265,130944
2024-03,21687,152631
2024-04,3351,155982
2024-05,1144,157126
2024-06,67,157193
2024-07,6470,163663
2024-08,1410,165073
2024-09,38865,203938
2024-10,3413,207351
