Date,Monthly Value,Accumulated Value
2015-02,2.17,2.17
2015-03,7.3,9.469999999999999
2015-04,11.28,20.75
2015-05,16.12,36.870000000000005
2015-06,18.7,55.57000000000001
2015-07,20.13,75.7
2015-08,26.85,102.55000000000001
2015-09,30.94,133.49
2015-10,24.42,157.91000000000003
2015-11,22.64,180.55
2015-12,24.29,204.84
2016-01,22.9,227.74
2016-02,27.7,255.44
2016-03,27.5,282.94
2016-04,36,318.94
2016-05,34.47,353.40999999999997
2016-06,35.7,389.10999999999996
2016-07,40.47,429.5799999999999
2016-08,38.16,467.7399999999999
2016-09,39.93,507.6699999999999
2016-10,40.18,547.8499999999999
2016-11,42.42,590.2699999999999
2016-12,43.02,633.2899999999998
2017-01,41.87,675.1599999999999
2017-02,40.14,715.2999999999998
2017-03,36.03,751.3299999999998
2017-04,36.21,787.5399999999998
2017-05,38.7,826.2399999999999
2017-06,39.74,865.9799999999999
2017-07,41.36,907.3399999999999
2017-08,45.54,952.8799999999999
2017-09,40.94,993.8199999999999
2017-10,47.15,1040.97
2017-11,51,1091.97
2017-12,46.52,1138.49
2018-01,43.24,1181.73
2018-02,41.08,1222.81
2018-03,44.35,1267.1599999999999
2018-04,46.1,1313.2599999999998
2018-05,36.66,1349.9199999999998
2018-06,34.85,1384.7699999999998
2018-07,34.77,1419.5399999999997
2018-08,36.14,1455.6799999999998
2018-09,31.78,1487.4599999999998
2018-10,36.2,1523.6599999999999
2018-11,33.85,1557.5099999999998
2018-12,35.31,1592.8199999999997
2019-01,38.81,1631.6299999999997
2019-02,43.34,1674.9699999999996
2019-03,42.33,1717.2999999999995
2019-04,41.67,1758.9699999999996
2019-05,44.65,1803.6199999999997
2019-06,43.5,1847.1199999999997
2019-07,42.51,1889.6299999999997
2019-08,38.72,1928.3499999999997
2019-09,40.67,1969.0199999999998
2019-10,40.16,2009.1799999999998
2019-11,42.37,2051.5499999999997
2019-12,41.86,2093.41
2020-01,38.88,2132.29
2020-02,39.3,2171.59
2020-03,40.86,2212.4500000000003
2020-04,46.9,2259.3500000000004
2020-05,44.02,2303.3700000000003
2020-06,37.95,2341.32
2020-07,39.78,2381.1000000000004
2020-08,41.04,2422.1400000000003
2020-09,36.29,2458.4300000000003
2020-10,38.17,2496.6000000000004
2020-11,38.1,2534.7000000000003
2020-12,38.5,2573.2000000000003
2021-01,39.65,2612.8500000000004
2021-02,36.91,2649.76
2021-03,36.68,2686.44
2021-04,38.91,2725.35
2021-05,34.55,2759.9
2021-06,33.85,2793.75
2021-07,30.57,2824.32
2021-08,32.05,2856.3700000000003
2021-09,33.87,2890.2400000000002
2021-10,33,2923.2400000000002
2021-11,32.29,2955.53
2021-12,33.39,2988.92
2022-01,29.84,3018.76
2022-02,31.47,3050.23
2022-03,37.17,3087.4
2022-04,35.81,3123.21
2022-05,32.6,3155.81
2022-06,33.37,3189.18
2022-07,31.06,3220.24
2022-08,28.79,3249.0299999999997
2022-09,26.07,3275.1
2022-10,28.54,3303.64
2022-11,33.25,3336.89
2022-12,30.93,3367.8199999999997
2023-01,28.64,3396.4599999999996
2023-02,27.22,3423.6799999999994
2023-03,28.94,3452.6199999999994
2023-04,32.84,3485.4599999999996
2023-05,33.67,3519.1299999999997
2023-06,35.99,3555.1199999999994
2023-07,35.07,3590.1899999999996
2023-08,33.92,3624.1099999999997
2023-09,30.99,3655.0999999999995
2023-10,33.29,3688.3899999999994
2023-11,35.86,3724.2499999999995
2023-12,31.6,3755.8499999999995
2024-01,31.85,3787.6999999999994
2024-02,32.05,3819.7499999999995
2024-03,33.06,3852.8099999999995
2024-04,35.68,3888.4899999999993
2024-05,37.17,3925.6599999999994
2024-06,39.86,3965.5199999999995
2024-07,35.51,4001.0299999999997
2024-08,35.65,4036.68
2024-09,39.42,4076.1
2024-10,44.79,4120.89
