Date,Monthly Value,Accumulated Value
2015-01,13,13
2015-02,27,40
2015-03,34,74
2015-04,27,101
2015-05,22,123
2015-06,42,165
2015-07,21,186
2015-08,22,208
2015-09,33,241
2015-10,26,267
2015-11,42,309
2015-12,31,340
2016-01,25,365
2016-02,29,394
2016-03,30,424
2016-04,34,458
2016-05,45,503
2016-06,39,542
2016-07,42,584
2016-08,39,623
2016-09,44,667
2016-10,45,712
2016-11,39,751
2016-12,41,792
2017-01,67,859
2017-02,43,902
2017-03,46,948
2017-04,49,997
2017-05,56,1053
2017-06,30,1083
2017-07,46,1129
2017-08,45,1174
2017-09,44,1218
2017-10,42,1260
2017-11,70,1330
2017-12,45,1375
2018-01,50,1425
2018-02,41,1466
2018-03,72,1538
2018-04,43,1581
2018-05,54,1635
2018-06,44,1679
2018-07,54,1733
2018-08,106,1839
2018-09,137,1976
2018-10,90,2066
2018-11,44,2110
2018-12,48,2158
2019-01,57,2215
2019-02,53,2268
2019-03,70,2338
2019-04,72,2410
2019-05,98,2508
2019-06,61,2569
2019-07,54,2623
2019-08,45,2668
2019-09,57,2725
2019-10,48,2773
2019-11,51,2824
2019-12,41,2865
2020-01,84,2949
2020-02,42,2991
2020-03,61,3052
2020-04,57,3109
2020-05,55,3164
2020-06,30,3194
2020-07,29,3223
2020-08,32,3255
2020-09,32,3287
2020-10,27,3314
2020-11,55,3369
2020-12,42,3411
2021-01,40,3451
2021-02,41,3492
2021-03,34,3526
2021-04,43,3569
2021-05,39,3608
2021-06,40,3648
2021-07,30,3678
2021-08,44,3722
2021-09,28,3750
2021-10,35,3785
2021-11,41,3826
2021-12,28,3854
2022-01,49,3903
2022-02,41,3944
2022-03,39,3983
2022-04,26,4009
2022-05,30,4039
2022-06,26,4065
2022-07,31,4096
2022-08,31,4127
2022-09,37,4164
2022-10,25,4189
2022-11,29,4218
2022-12,22,4240
2023-01,21,4261
2023-02,27,4288
2023-03,33,4321
2023-04,25,4346
2023-05,37,4383
2023-06,26,4409
2023-07,25,4434
2023-08,20,4454
2023-09,24,4478
2023-10,18,4496
2023-11,19,4515
2023-12,17,4532
2024-01,20,4552
2024-02,13,4565
2024-03,17,4582
2024-04,21,4603
2024-05,14,4617
2024-06,13,4630
2024-07,10,4640
2024-08,15,4655
2024-09,11,4666
2024-10,15,4681
