Date,Monthly Value,Accumulated Value
2015-02,2,2
2015-03,5,7
2015-04,1,8
2015-05,5,13
2015-06,5,18
2015-07,5,23
2015-08,2,25
2015-10,1,26
2015-11,2,28
2015-12,1,29
2016-02,1,30
2016-03,3,33
2016-04,3,36
2016-05,3,39
2016-06,2,41
2016-07,1,42
2016-08,6,48
2016-09,3,51
2016-10,5,56
2016-11,7,63
2016-12,2,65
2017-02,2,67
2017-03,7,74
2017-04,5,79
2017-05,4,83
2017-06,4,87
2017-07,6,93
2017-08,4,97
2017-09,3,100
2017-10,3,103
2017-11,3,106
2017-12,6,112
2018-01,8,120
2018-02,6,126
2018-03,3,129
2018-04,4,133
2018-05,3,136
2018-06,6,142
2018-07,7,149
2018-08,3,152
2018-09,3,155
2018-10,5,160
2018-11,2,162
2018-12,1,163
2019-02,9,172
2019-03,4,176
2019-04,4,180
2019-05,6,186
2019-06,2,188
2019-07,5,193
2019-08,3,196
2019-09,7,203
2019-10,3,206
2019-11,8,214
2019-12,4,218
2020-01,9,227
2020-02,4,231
2020-03,10,241
2020-04,7,248
2020-05,4,252
2020-06,14,266
2020-07,6,272
2020-08,2,274
2020-09,3,277
2020-10,1,278
2020-11,9,287
2020-12,4,291
2021-01,2,293
2021-02,9,302
2021-03,7,309
2021-04,4,313
2021-05,6,319
2021-06,3,322
2021-07,3,325
2021-08,1,326
2021-09,2,328
2021-10,4,332
2021-11,4,336
2021-12,9,345
2022-01,3,348
2022-02,2,350
2022-03,4,354
2022-04,2,356
2022-05,2,358
2022-06,2,360
2022-07,1,361
2022-08,3,364
2022-09,2,366
2022-10,1,367
2022-11,3,370
2022-12,1,371
2023-01,3,374
2023-03,1,375
2023-04,4,379
2023-05,1,380
2023-07,2,382
2023-08,1,383
2023-09,2,385
2023-10,3,388
2023-12,1,389
2024-02,4,393
2024-03,2,395
2024-04,2,397
2024-05,1,398
2024-06,2,400
2024-07,1,401
2024-08,1,402
2024-09,2,404
2024-10,2,406
