Date,Monthly Value,Accumulated Value
2015-02,404,404
2015-03,408,812
2015-06,1242,2054
2015-11,231,2285
2016-10,278,2563
2016-11,264,2827
2017-02,109,2936
2017-03,690,3626
2017-04,50,3676
2017-05,2696,6372
2017-06,170,6542
2017-07,95,6637
2017-08,335,6972
2017-09,161,7133
2017-10,78,7211
2017-12,-49,7162
2018-01,3507,10669
2018-02,12,10681
2018-03,174,10855
2018-04,20,10875
2018-05,698,11573
2018-09,48,11621
2018-10,7,11628
2018-11,2,11630
2019-03,753,12383
2019-04,-2,12381
2019-09,212,12593
2019-10,257,12850
2019-11,3280,16130
2019-12,36,16166
2020-03,837,17003
2020-04,1276,18279
2020-05,40,18319
2020-06,156,18475
2020-08,294,18769
2020-09,-7,18762
2020-11,-7,18755
2020-12,2484,21239
2021-01,15,21254
2021-02,39,21293
2021-04,348,21641
2021-05,348,21989
2021-12,1,21990
2022-01,28,22018
2022-07,109,22127
2022-09,15,22142
2023-01,796,22938
2024-03,1146,24084
