Date,Monthly Value,Accumulated Value
2015-02,3,3
2015-03,5,8
2015-04,2,10
2015-05,5,15
2015-06,6,21
2015-07,5,26
2015-08,2,28
2015-10,1,29
2015-11,5,34
2015-12,1,35
2016-02,2,37
2016-03,3,40
2016-04,3,43
2016-05,4,47
2016-06,3,50
2016-07,2,52
2016-08,7,59
2016-09,5,64
2016-10,8,72
2016-11,7,79
2016-12,3,82
2017-02,7,89
2017-03,7,96
2017-04,6,102
2017-05,14,116
2017-06,10,126
2017-07,9,135
2017-08,6,141
2017-09,6,147
2017-10,5,152
2017-11,4,156
2017-12,9,165
2018-01,8,173
2018-02,10,183
2018-03,6,189
2018-04,12,201
2018-05,8,209
2018-06,8,217
2018-07,9,226
2018-08,5,231
2018-09,5,236
2018-10,6,242
2018-11,5,247
2018-12,1,248
2019-02,11,259
2019-03,9,268
2019-04,9,277
2019-05,7,284
2019-06,6,290
2019-07,5,295
2019-08,4,299
2019-09,11,310
2019-10,7,317
2019-11,10,327
2019-12,6,333
2020-01,10,343
2020-02,4,347
2020-03,13,360
2020-04,9,369
2020-05,11,380
2020-06,15,395
2020-07,7,402
2020-08,5,407
2020-09,3,410
2020-10,2,412
2020-11,9,421
2020-12,7,428
2021-01,4,432
2021-02,9,441
2021-03,8,449
2021-04,6,455
2021-05,9,464
2021-06,4,468
2021-07,5,473
2021-08,1,474
2021-09,2,476
2021-10,4,480
2021-11,5,485
2021-12,9,494
2022-01,3,497
2022-02,4,501
2022-03,4,505
2022-04,2,507
2022-05,2,509
2022-06,4,513
2022-07,1,514
2022-08,4,518
2022-09,5,523
2022-10,2,525
2022-11,3,528
2022-12,1,529
2023-01,9,538
2023-03,1,539
2023-04,5,544
2023-05,2,546
2023-07,2,548
2023-08,1,549
2023-09,2,551
2023-10,3,554
2023-12,2,556
2024-02,7,563
2024-03,4,567
2024-04,2,569
2024-05,1,570
2024-06,3,573
2024-07,2,575
2024-08,1,576
2024-09,2,578
2024-10,2,580
