Date,Monthly Value,Accumulated Value
2017-03,3.49,3.49
2017-04,6.16,9.65
2017-06,12.53,22.18
2017-07,2.47,24.65
2017-09,2.47,27.119999999999997
2017-11,6.5,33.62
2018-01,16.52,50.14
2018-02,6.69,56.83
2018-03,4.34,61.17
2018-04,6.3,67.47
2018-05,6.48,73.95
2018-06,4.49,78.44
2018-07,4.28,82.72
2018-08,12.45,95.17
2018-09,10.81,105.98
2018-10,6.75,112.73
2018-11,12.09,124.82000000000001
2018-12,5.3,130.12
2019-01,5.67,135.79
2019-02,2.47,138.26
2019-03,5.23,143.48999999999998
2019-04,20.23,163.71999999999997
2019-05,4.61,168.32999999999998
2019-06,6.37,174.7
2019-07,2.47,177.17
2019-08,6.24,183.41
2019-09,11.21,194.62
2019-10,7.92,202.54
2019-11,14.02,216.56
2019-12,22.3,238.86
2020-01,2.02,240.88000000000002
2020-02,1.43,242.31000000000003
2020-03,4.02,246.33000000000004
2020-04,2.47,248.80000000000004
2020-06,6.75,255.55000000000004
2020-07,3.49,259.04
2020-08,2.14,261.18
2020-10,11.53,272.71
2020-11,8.52,281.22999999999996
2020-12,7.03,288.25999999999993
2021-02,13.72,301.97999999999996
2021-03,10.42,312.4
2021-04,13.83,326.22999999999996
2021-05,2.47,328.7
2021-06,5.78,334.47999999999996
2021-07,8.72,343.2
2021-08,5.21,348.40999999999997
2021-09,3.19,351.59999999999997
2021-10,6,357.59999999999997
2021-11,7.95,365.54999999999995
2021-12,9.77,375.31999999999994
2022-01,18.67,393.98999999999995
2022-02,11.05,405.03999999999996
2022-03,15.4,420.43999999999994
2022-04,4.61,425.04999999999995
2022-05,10.05,435.09999999999997
2022-06,15.45,450.54999999999995
2022-07,10.56,461.10999999999996
2022-08,5.79,466.9
2022-09,18.9,485.79999999999995
2022-10,11.1,496.9
2022-11,15.13,512.03
2022-12,6.75,518.78
2023-01,5.96,524.74
2023-02,5.62,530.36
2023-03,11.06,541.42
2023-04,3.88,545.3
2023-05,4.3,549.5999999999999
2023-06,8.49,558.0899999999999
2023-07,9.21,567.3
2023-08,11.83,579.13
2023-09,12.84,591.97
2023-10,12.73,604.7
2023-11,18.16,622.86
2023-12,5.58,628.44
2024-01,8.2,636.6400000000001
2024-02,3.96,640.6000000000001
2024-03,7.88,648.4800000000001
2024-04,16.6,665.0800000000002
2024-05,10.75,675.8300000000002
