Date,Monthly Value,Accumulated Value
2017-03,1,1
2017-04,2,3
2017-06,3,6
2017-07,1,7
2017-09,1,8
2017-11,4,12
2018-01,8,20
2018-02,3,23
2018-03,2,25
2018-04,2,27
2018-05,3,30
2018-06,3,33
2018-07,2,35
2018-08,5,40
2018-09,5,45
2018-10,3,48
2018-11,7,55
2018-12,3,58
2019-01,3,61
2019-02,2,63
2019-03,4,67
2019-04,9,76
2019-05,2,78
2019-06,2,80
2019-07,2,82
2019-08,4,86
2019-09,6,92
2019-10,4,96
2019-11,7,103
2019-12,10,113
2020-01,1,114
2020-02,1,115
2020-03,3,118
2020-04,1,119
2020-06,2,121
2020-07,1,122
2020-08,1,123
2020-10,6,129
2020-11,5,134
2020-12,3,137
2021-02,9,146
2021-03,4,150
2021-04,8,158
2021-05,1,159
2021-06,3,162
2021-07,3,165
2021-08,3,168
2021-09,2,170
2021-10,2,172
2021-11,2,174
2021-12,4,178
2022-01,7,185
2022-02,4,189
2022-03,7,196
2022-04,3,199
2022-05,5,204
2022-06,6,210
2022-07,4,214
2022-08,3,217
2022-09,6,223
2022-10,4,227
2022-11,7,234
2022-12,3,237
2023-01,2,239
2023-02,4,243
2023-03,6,249
2023-04,2,251
2023-05,2,253
2023-06,4,257
2023-07,3,260
2023-08,4,264
2023-09,6,270
2023-10,6,276
2023-11,8,284
2023-12,4,288
2024-01,3,291
2024-02,2,293
2024-03,4,297
2024-04,8,305
2024-05,6,311
