Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,2,3
2015-03,1,4
2015-04,1,5
2015-05,1,6
2015-06,1,7
2015-07,2,9
2015-08,1,10
2015-09,1,11
2015-10,3,14
2015-12,2,16
2016-02,2,18
2016-03,5,23
2016-04,1,24
2016-05,3,27
2016-06,3,30
2016-07,2,32
2016-08,1,33
2016-10,5,38
2016-11,2,40
2017-01,3,43
2017-02,3,46
2017-03,2,48
2017-05,5,53
2017-06,5,58
2017-07,2,60
2017-08,5,65
2017-09,2,67
2017-10,5,72
2017-11,2,74
2017-12,2,76
2018-02,2,78
2018-03,5,83
2018-04,3,86
2018-05,2,88
2018-06,6,94
2018-07,1,95
2018-09,1,96
2018-10,1,97
2018-12,2,99
2019-01,4,103
2019-02,4,107
2019-03,6,113
2019-04,2,115
2019-05,7,122
2019-06,6,128
2019-07,3,131
2019-09,3,134
2019-10,6,140
2019-12,3,143
2020-01,1,144
2020-02,2,146
2020-03,6,152
2020-04,3,155
2020-06,4,159
2020-07,2,161
2020-10,2,163
2020-11,4,167
2020-12,3,170
2021-01,5,175
2021-02,1,176
2021-03,1,177
2021-04,4,181
2021-05,4,185
2021-06,4,189
2021-07,6,195
2021-08,1,196
2021-09,2,198
2021-10,2,200
2021-11,1,201
2021-12,5,206
2022-02,5,211
2022-03,6,217
2022-04,3,220
2022-05,2,222
2022-06,1,223
2022-07,1,224
2022-08,6,230
2022-09,6,236
2022-10,3,239
2022-11,4,243
2022-12,5,248
2023-01,12,260
2023-03,2,262
2023-04,3,265
2023-05,2,267
2023-07,2,269
2023-11,3,272
2023-12,6,278
2024-01,2,280
2024-02,2,282
2024-03,5,287
2024-05,3,290
2024-07,5,295
2024-08,1,296
2024-10,1,297
