Date,Monthly Value,Accumulated Value
2015-01,213,213
2015-02,122,335
2015-03,2034,2369
2015-04,2086,4455
2015-05,87,4542
2015-06,59,4601
2015-07,288,4889
2015-08,1070,5959
2015-09,1401,7360
2015-10,187,7547
2015-11,273,7820
2015-12,126,7946
2016-01,64,8010
2016-02,102,8112
2016-03,230,8342
2016-04,700,9042
2016-05,5,9047
2016-06,138,9185
2016-07,18,9203
2016-08,669,9872
2016-09,152,10024
2016-10,697,10721
2016-11,270,10991
2016-12,30,11021
2017-01,695,11716
2017-02,1350,13066
2017-03,199,13265
2017-04,5072,18337
2017-05,1232,19569
2017-06,6700,26269
2017-07,501,26770
2017-08,176,26946
2017-09,8,26954
2017-10,605,27559
2017-11,240,27799
2017-12,65,27864
2018-01,551,28415
2018-02,4,28419
2018-03,1,28420
2018-04,1960,30380
2018-05,3277,33657
2018-06,99508,133165
2018-07,102,133267
2018-08,66,133333
2018-09,31,133364
2018-10,103,133467
2018-11,81,133548
2018-12,766,134314
2019-01,50,134364
2019-02,39,134403
2019-03,390,134793
2019-04,94,134887
2019-05,406,135293
2019-06,742,136035
2019-07,216,136251
2019-08,273,136524
2019-09,19397,155921
2019-10,103,156024
2019-11,21,156045
2019-12,1903,157948
2020-01,7690,165638
2020-02,150,165788
2020-03,1319,167107
2020-04,679,167786
2020-05,2634,170420
2020-06,174,170594
2020-08,3331,173925
2020-09,373,174298
2020-10,137,174435
2020-11,29,174464
2020-12,5777,180241
2021-01,2771,183012
2021-02,36,183048
2021-03,761,183809
2021-04,2196,186005
2021-05,503,186508
2021-06,155,186663
2021-07,2796,189459
2021-08,558,190017
2021-09,2392,192409
2021-10,3,192412
2021-11,214,192626
2021-12,523,193149
2022-01,14,193163
2022-02,84,193247
2022-03,2705,195952
2022-04,412,196364
2022-05,1256,197620
2022-06,2107,199727
2022-07,132,199859
2022-08,1551,201410
2022-09,66,201476
2022-10,136,201612
2022-11,3,201615
2022-12,219,201834
2023-01,413,202247
2023-02,47,202294
2023-03,42,202336
2023-04,685,203021
2023-05,13268,216289
2023-06,1599,217888
2023-07,1134,219022
2023-09,399,219421
2023-10,3810,223231
2023-11,7177,230408
2023-12,4175,234583
2024-01,2179,236762
2024-02,239,237001
2024-03,3,237004
2024-05,81,237085
2024-07,1758,238843
2024-08,1662,240505
2024-09,18,240523
2024-10,19,240542
