Date,Monthly Value,Accumulated Value
2017-03,2,2
2017-04,2,4
2017-05,3,7
2017-06,3,10
2017-07,3,13
2017-08,4,17
2017-09,4,21
2017-10,4,25
2017-11,4,29
2017-12,5,34
2018-01,7,41
2018-02,7,48
2018-03,9,57
2018-04,9,66
2018-05,10,76
2018-06,12,88
2018-07,12,100
2018-08,12,112
2018-09,12,124
2018-10,12,136
2018-11,15,151
2018-12,15,166
2019-01,17,183
2019-02,17,200
2019-03,17,217
2019-04,18,235
2019-05,18,253
2019-06,17,270
2019-07,18,288
2019-08,18,306
2019-09,18,324
2019-10,18,342
2019-11,20,362
2019-12,20,382
2020-01,21,403
2020-02,21,424
2020-03,22,446
2020-04,24,470
2020-05,23,493
2020-06,23,516
2020-07,23,539
2020-08,23,562
2020-09,23,585
2020-10,23,608
2020-11,24,632
2020-12,24,656
2021-01,25,681
2021-02,26,707
2021-03,27,734
2021-04,27,761
2021-05,28,789
2021-06,28,817
2021-07,31,848
2021-08,33,881
2021-09,30,911
2021-10,30,941
2021-11,30,971
2021-12,30,1001
2022-01,30,1031
2022-02,30,1061
2022-03,32,1093
2022-04,36,1129
2022-05,38,1167
2022-06,40,1207
2022-07,40,1247
2022-08,41,1288
2022-09,42,1330
2022-10,42,1372
2022-11,42,1414
2022-12,41,1455
2023-01,39,1494
2023-02,39,1533
2023-03,39,1572
2023-04,39,1611
2023-05,39,1650
2023-06,39,1689
2023-07,40,1729
2023-08,41,1770
2023-09,42,1812
2023-10,39,1851
2023-11,39,1890
2023-12,39,1929
2024-01,39,1968
2024-02,39,2007
2024-03,39,2046
2024-04,42,2088
2024-05,42,2130
2024-06,43,2173
2024-07,41,2214
2024-08,41,2255
2024-09,41,2296
2024-10,48,2344
