Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,4,5
2015-03,7,12
2015-04,12,24
2015-05,8,32
2015-06,2,34
2015-07,8,42
2015-08,9,51
2015-09,4,55
2015-10,10,65
2015-11,17,82
2015-12,11,93
2016-01,11,104
2016-02,9,113
2016-03,12,125
2016-04,25,150
2016-05,23,173
2016-06,25,198
2016-07,11,209
2016-08,21,230
2016-09,9,239
2016-10,9,248
2016-11,18,266
2016-12,14,280
2017-01,26,306
2017-02,15,321
2017-03,19,340
2017-04,19,359
2017-05,20,379
2017-06,17,396
2017-07,17,413
2017-08,13,426
2017-09,30,456
2017-10,34,490
2017-11,30,520
2017-12,19,539
2018-01,15,554
2018-02,18,572
2018-03,18,590
2018-04,14,604
2018-05,15,619
2018-06,20,639
2018-07,17,656
2018-08,25,681
2018-09,20,701
2018-10,29,730
2018-11,18,748
2018-12,13,761
2019-01,19,780
2019-02,9,789
2019-03,14,803
2019-04,18,821
2019-05,30,851
2019-06,11,862
2019-07,29,891
2019-08,29,920
2019-09,16,936
2019-10,28,964
2019-11,28,992
2019-12,11,1003
2020-01,20,1023
2020-02,13,1036
2020-03,13,1049
2020-04,36,1085
2020-05,8,1093
2020-06,14,1107
2020-07,16,1123
2020-08,18,1141
2020-09,22,1163
2020-10,32,1195
2020-11,20,1215
2020-12,11,1226
2021-01,18,1244
2021-02,14,1258
2021-03,22,1280
2021-04,9,1289
2021-05,14,1303
2021-06,22,1325
2021-07,10,1335
2021-08,14,1349
2021-09,21,1370
2021-10,20,1390
2021-11,21,1411
2021-12,20,1431
2022-01,14,1445
2022-02,18,1463
2022-03,9,1472
2022-04,19,1491
2022-05,23,1514
2022-06,14,1528
2022-07,15,1543
2022-08,32,1575
2022-09,12,1587
2022-10,21,1608
2022-11,17,1625
2022-12,15,1640
2023-01,7,1647
2023-02,12,1659
2023-03,10,1669
2023-04,13,1682
2023-05,15,1697
2023-06,7,1704
2023-07,22,1726
2023-08,11,1737
2023-09,7,1744
2023-10,19,1763
2023-11,9,1772
2023-12,7,1779
2024-01,9,1788
2024-02,6,1794
2024-03,15,1809
2024-04,18,1827
2024-05,14,1841
2024-06,11,1852
2024-07,11,1863
2024-08,11,1874
2024-09,6,1880
2024-10,10,1890
