Date,Monthly Value,Accumulated Value
2015-02,1,1
2015-04,4,5
2015-05,2,7
2015-07,2,9
2015-08,2,11
2015-10,4,15
2015-11,6,21
2015-12,2,23
2016-01,2,25
2016-02,2,27
2016-03,2,29
2016-04,8,37
2016-05,3,40
2016-06,6,46
2016-07,3,49
2016-08,5,54
2016-10,2,56
2016-11,7,63
2016-12,4,67
2017-01,7,74
2017-02,1,75
2017-03,4,79
2017-04,6,85
2017-05,3,88
2017-06,4,92
2017-07,4,96
2017-08,2,98
2017-09,6,104
2017-10,9,113
2017-11,9,122
2017-12,6,128
2018-01,3,131
2018-02,4,135
2018-03,3,138
2018-04,1,139
2018-05,2,141
2018-06,3,144
2018-07,3,147
2018-08,5,152
2018-09,5,157
2018-10,5,162
2018-11,2,164
2018-12,1,165
2019-01,6,171
2019-02,2,173
2019-03,2,175
2019-04,1,176
2019-05,8,184
2019-06,2,186
2019-07,5,191
2019-08,5,196
2019-09,3,199
2019-10,5,204
2019-11,6,210
2020-01,5,215
2020-02,2,217
2020-04,7,224
2020-06,3,227
2020-07,2,229
2020-08,2,231
2020-09,2,233
2020-10,11,244
2020-11,4,248
2020-12,1,249
2021-01,2,251
2021-02,2,253
2021-03,5,258
2021-05,4,262
2021-06,4,266
2021-07,2,268
2021-09,3,271
2021-10,3,274
2021-11,2,276
2021-12,4,280
2022-01,2,282
2022-02,2,284
2022-03,2,286
2022-04,3,289
2022-05,5,294
2022-06,4,298
2022-07,3,301
2022-08,6,307
2022-09,1,308
2022-10,4,312
2022-11,3,315
2022-12,2,317
2023-02,3,320
2023-03,1,321
2023-04,2,323
2023-05,1,324
2023-07,5,329
2023-10,5,334
2024-02,2,336
2024-04,1,337
2024-05,2,339
2024-06,1,340
2024-07,3,343
2024-10,2,345
