Date,Monthly Value,Accumulated Value
2016-02,1,1
2016-03,1,2
2016-04,1,3
2016-05,1,4
2016-12,1,5
2017-01,1,6
2017-02,1,7
2017-03,1,8
2017-04,1,9
2017-05,1,10
2017-06,1,11
2017-07,1,12
2017-08,1,13
2017-09,1,14
2017-10,1,15
2017-11,1,16
2017-12,1,17
2018-01,2,19
2018-02,2,21
2018-03,2,23
2018-04,2,25
2018-05,2,27
2018-06,2,29
2018-07,2,31
2018-08,2,33
2018-09,2,35
2018-10,2,37
2018-11,2,39
2018-12,3,42
2019-01,3,45
2019-02,3,48
2019-03,3,51
2019-04,4,55
2019-05,4,59
2019-06,4,63
2019-07,4,67
2019-08,4,71
2019-09,5,76
2019-10,5,81
2019-11,5,86
2019-12,6,92
2020-01,6,98
2020-02,6,104
2020-03,6,110
2020-04,6,116
2020-05,7,123
2020-06,7,130
2020-07,7,137
2020-08,7,144
2020-09,7,151
2020-10,7,158
2020-11,7,165
2020-12,7,172
2021-01,7,179
2021-02,7,186
2021-03,7,193
2021-04,8,201
2021-05,8,209
2021-06,8,217
2021-07,8,225
2021-08,8,233
2021-09,8,241
2021-10,8,249
2021-11,8,257
2021-12,8,265
2022-01,8,273
2022-02,8,281
2022-03,8,289
2022-04,8,297
2022-05,8,305
2022-06,8,313
2022-07,8,321
2022-08,7,328
2022-09,7,335
2022-10,7,342
2022-11,7,349
2022-12,7,356
2023-01,7,363
2023-02,7,370
2023-03,7,377
2023-04,8,385
2023-05,9,394
2023-06,9,403
2023-07,9,412
2023-08,9,421
2023-09,10,431
2023-10,10,441
2023-11,10,451
2023-12,10,461
2024-01,10,471
2024-02,10,481
2024-03,10,491
2024-04,10,501
2024-05,10,511
2024-06,11,522
2024-07,11,533
2024-08,12,545
2024-09,12,557
2024-10,12,569
