Date,Monthly Value,Accumulated Value
2015-01,38,38
2015-02,41,79
2015-03,46,125
2015-04,49,174
2015-05,85,259
2015-06,33,292
2015-07,44,336
2015-08,23,359
2015-09,63,422
2015-10,60,482
2015-11,61,543
2015-12,28,571
2016-01,95,666
2016-02,56,722
2016-03,40,762
2016-04,46,808
2016-05,36,844
2016-06,53,897
2016-07,18,915
2016-08,38,953
2016-09,33,986
2016-10,22,1008
2016-11,21,1029
2016-12,41,1070
2017-01,35,1105
2017-02,28,1133
2017-03,29,1162
2017-04,33,1195
2017-05,15,1210
2017-06,23,1233
2017-07,26,1259
2017-08,17,1276
2017-09,27,1303
2017-10,18,1321
2017-11,23,1344
2017-12,21,1365
2018-01,50,1415
2018-02,16,1431
2018-03,23,1454
2018-04,13,1467
2018-05,24,1491
2018-06,18,1509
2018-07,12,1521
2018-08,18,1539
2018-09,13,1552
2018-10,18,1570
2018-11,23,1593
2018-12,13,1606
2019-01,14,1620
2019-02,10,1630
2019-03,15,1645
2019-04,28,1673
2019-05,22,1695
2019-06,8,1703
2019-07,17,1720
2019-08,13,1733
2019-09,12,1745
2019-10,27,1772
2019-11,5,1777
2019-12,15,1792
2020-01,12,1804
2020-02,8,1812
2020-03,10,1822
2020-04,31,1853
2020-05,15,1868
2020-06,9,1877
2020-07,21,1898
2020-08,8,1906
2020-09,10,1916
2020-10,7,1923
2020-11,5,1928
2020-12,8,1936
2021-01,8,1944
2021-02,14,1958
2021-03,9,1967
2021-04,5,1972
2021-05,6,1978
2021-06,4,1982
2021-07,5,1987
2021-08,3,1990
2021-09,8,1998
2021-10,7,2005
2021-11,8,2013
2021-12,3,2016
2022-01,4,2020
2022-02,6,2026
2022-03,3,2029
2022-04,2,2031
2022-05,1,2032
2022-06,9,2041
2022-07,5,2046
2022-08,12,2058
2022-09,18,2076
2022-10,16,2092
2022-11,8,2100
2022-12,11,2111
2023-01,1,2112
2023-02,15,2127
2023-03,9,2136
2023-04,7,2143
2023-05,5,2148
2023-06,8,2156
2023-07,6,2162
2023-08,1,2163
2023-09,8,2171
2023-10,5,2176
2023-11,3,2179
2023-12,5,2184
2024-01,5,2189
2024-02,7,2196
2024-03,7,2203
2024-04,7,2210
2024-05,2,2212
2024-06,4,2216
2024-08,4,2220
2024-09,6,2226
2024-10,5,2231
