Date,Monthly Value,Accumulated Value
2015-03,5,5
2015-10,6,11
2016-10,16068,16079
2017-12,3,16082
2018-04,45,16127
2018-05,30,16157
2018-06,626,16783
2018-08,128,16911
2018-11,32,16943
2018-12,13100,30043
2019-01,39275,69318
2019-02,257,69575
2020-04,2,69577
2020-05,24,69601
2020-07,570,70171
2020-08,107,70278
2020-09,6,70284
2020-11,943,71227
2021-05,24,71251
2021-06,18,71269
2022-03,408,71677
2022-04,24,71701
2022-05,11,71712
2022-06,3664,75376
2022-08,16,75392
2022-09,5,75397
2022-10,1,75398
2022-11,62,75460
2023-01,42,75502
2023-04,2188,77690
2023-05,2220,79910
2023-06,13,79923
2023-07,4,79927
2023-08,2,79929
2023-09,13,79942
2023-10,12,79954
2023-11,9,79963
2023-12,14,79977
2024-01,5,79982
2024-02,3,79985
2024-03,10,79995
2024-04,4,79999
2024-05,8,80007
