Date,Monthly Value,Accumulated Value
2015-01,42.27,42.27
2015-02,53.43,95.7
2015-03,74.97,170.67000000000002
2015-04,82.63,253.3
2015-05,82.59,335.89
2015-06,93.74,429.63
2015-07,88.13,517.76
2015-08,64.47,582.23
2015-09,98.23,680.46
2015-10,111.72,792.1800000000001
2015-11,125.75,917.9300000000001
2015-12,64.09,982.0200000000001
2016-01,139.43,1121.45
2016-02,120,1241.45
2016-03,137.22,1378.67
2016-04,162.56,1541.23
2016-05,108.86,1650.09
2016-06,109.16,1759.25
2016-07,113.5,1872.75
2016-08,106.68,1979.43
2016-09,127,2106.4300000000003
2016-10,167.41,2273.84
2016-11,126.04,2399.88
2016-12,121.55,2521.4300000000003
2017-01,120.7,2642.13
2017-02,115.39,2757.52
2017-03,161.15,2918.67
2017-04,147.07,3065.7400000000002
2017-05,137.41,3203.15
2017-06,138.26,3341.41
2017-07,121.43,3462.8399999999997
2017-08,119.98,3582.8199999999997
2017-09,139.59,3722.41
2017-10,164.19,3886.6
2017-11,175.27,4061.87
2017-12,122.43,4184.3
2018-01,111.84,4296.14
2018-02,166.28,4462.42
2018-03,134.2,4596.62
2018-04,128.3,4724.92
2018-05,112.06,4836.9800000000005
2018-06,161.59,4998.570000000001
2018-07,157.34,5155.910000000001
2018-08,152.64,5308.550000000001
2018-09,132.61,5441.160000000001
2018-10,171.05,5612.210000000001
2018-11,143.71,5755.920000000001
2018-12,119.79,5875.710000000001
2019-01,76.42,5952.130000000001
2019-02,111.36,6063.490000000001
2019-03,147.76,6211.250000000001
2019-04,124.34,6335.590000000001
2019-05,118.29,6453.880000000001
2019-06,124.69,6578.570000000001
2019-07,150.58,6729.150000000001
2019-08,149.44,6878.59
2019-09,178.83,7057.42
2019-10,186.18,7243.6
2019-11,207.2,7450.8
2019-12,160,7610.8
2020-01,186.55,7797.35
2020-02,183.15,7980.5
2020-03,155.57,8136.07
2020-04,168.61,8304.68
2020-05,195.26,8499.94
2020-06,220.8,8720.74
2020-07,248.38,8969.119999999999
2020-08,152.1,9121.22
2020-09,189.92,9311.14
2020-10,218.58,9529.72
2020-11,173.4,9703.119999999999
2020-12,119.31,9822.429999999998
2021-01,149.09,9971.519999999999
2021-02,159.31,10130.829999999998
2021-03,228.72,10359.549999999997
2021-04,188.41,10547.959999999997
2021-05,209.38,10757.339999999997
2021-06,225.16,10982.499999999996
2021-07,187.69,11170.189999999997
2021-08,150.85,11321.039999999997
2021-09,174.2,11495.239999999998
2021-10,256,11751.239999999998
2021-11,333.73,12084.969999999998
2021-12,372.33,12457.299999999997
2022-01,418.53,12875.829999999998
2022-02,529.26,13405.089999999998
2022-03,550.41,13955.499999999998
2022-04,572.74,14528.239999999998
2022-05,494.57,15022.809999999998
2022-06,531.78,15554.589999999998
2022-07,514.04,16068.629999999997
2022-08,714.74,16783.37
2022-09,719.71,17503.079999999998
2022-10,560.12,18063.199999999997
2022-11,553.98,18617.179999999997
2022-12,441.78,19058.959999999995
2023-01,546.97,19605.929999999997
2023-02,659.03,20264.959999999995
2023-03,1162.37,21427.329999999994
2023-04,603.45,22030.779999999995
2023-05,699.37,22730.149999999994
2023-06,710.78,23440.929999999993
2023-07,738.84,24179.769999999993
2023-08,696.25,24876.019999999993
2023-09,726.36,25602.379999999994
2023-10,786.28,26388.659999999993
2023-11,736.73,27125.389999999992
2023-12,636.87,27762.25999999999
2024-01,840.16,28602.41999999999
2024-02,794.5,29396.91999999999
2024-03,855.32,30252.23999999999
2024-04,841.89,31094.12999999999
2024-05,802.49,31896.61999999999
2024-06,853.73,32750.34999999999
2024-07,834.91,33585.259999999995
2024-08,725.78,34311.03999999999
2024-09,775.24,35086.27999999999
2024-10,984.08,36070.35999999999
