Date,Monthly Value,Accumulated Value
2015-03,2,2
2015-04,18,20
2015-05,14,34
2015-06,6,40
2015-07,1,41
2015-09,19,60
2015-10,1,61
2015-11,12,73
2016-01,11,84
2016-02,16,100
2016-03,29,129
2016-04,6,135
2016-05,15,150
2016-06,49,199
2016-07,11,210
2016-08,7,217
2016-09,35,252
2016-10,37,289
2016-11,36,325
2016-12,7,332
2017-01,13,345
2017-02,21,366
2017-03,79,445
2017-04,69,514
2017-05,47,561
2017-06,45,606
2017-07,40,646
2017-08,32,678
2017-09,57,735
2017-10,58,793
2017-11,38,831
2017-12,20,851
2018-01,65,916
2018-02,99,1015
2018-03,73,1088
2018-04,49,1137
2018-05,58,1195
2018-06,68,1263
2018-07,42,1305
2018-08,52,1357
2018-09,119,1476
2018-10,158,1634
2018-11,43,1677
2018-12,38,1715
2019-01,44,1759
2019-02,102,1861
2019-03,100,1961
2019-04,36,1997
2019-05,39,2036
2019-06,34,2070
2019-07,98,2168
2019-08,137,2305
2019-09,147,2452
2019-10,138,2590
2019-11,257,2847
2019-12,182,3029
2020-01,222,3251
2020-02,157,3408
2020-03,108,3516
2020-04,106,3622
2020-05,179,3801
2020-06,320,4121
2020-07,355,4476
2020-08,105,4581
2020-09,210,4791
2020-10,257,5048
2020-11,140,5188
2020-12,152,5340
2021-01,223,5563
2021-02,224,5787
2021-03,397,6184
2021-04,250,6434
2021-05,178,6612
2021-06,207,6819
2021-07,219,7038
2021-08,64,7102
2021-09,109,7211
2021-10,154,7365
2021-11,195,7560
2021-12,255,7815
2022-01,670,8485
2022-02,507,8992
2022-03,586,9578
2022-04,295,9873
2022-05,345,10218
2022-06,298,10516
2022-07,227,10743
2022-08,276,11019
2022-09,213,11232
2022-10,252,11484
2022-11,99,11583
2022-12,238,11821
2023-01,258,12079
2023-02,354,12433
2023-03,279,12712
2023-04,243,12955
2023-05,415,13370
2023-06,419,13789
2023-07,304,14093
2023-08,345,14438
2023-09,330,14768
2023-10,415,15183
2023-11,546,15729
2023-12,270,15999
2024-01,531,16530
2024-02,633,17163
2024-03,552,17715
2024-04,741,18456
2024-05,464,18920
2024-06,442,19362
2024-07,731,20093
2024-08,474,20567
2024-09,441,21008
2024-10,439,21447
