Date,Monthly Value,Accumulated Value
2015-01,28297,28297
2015-02,652472,680769
2015-03,39795,720564
2015-04,167116,887680
2015-05,60992,948672
2015-06,19816,968488
2015-07,141808,1110296
2015-08,61719,1172015
2015-09,139424,1311439
2015-10,40357,1351796
2015-11,43863,1395659
2015-12,32504,1428163
2016-01,17866,1446029
2016-02,162599,1608628
2016-03,40553,1649181
2016-04,105452,1754633
2016-05,36529,1791162
2016-06,59463,1850625
2016-07,47351,1897976
2016-08,53478,1951454
2016-09,63460,2014914
2016-10,45420,2060334
2016-11,16698,2077032
2016-12,50718,2127750
2017-01,83313,2211063
2017-02,51137,2262200
2017-03,287798,2549998
2017-04,-22547,2527451
2017-05,45185,2572636
2017-06,135079,2707715
2017-07,45636,2753351
2017-08,51061,2804412
2017-09,67134,2871546
2017-10,28764,2900310
2017-11,53925,2954235
2017-12,29746,2983981
2018-01,54428,3038409
2018-02,258095,3296504
2018-03,55283,3351787
2018-04,62898,3414685
2018-05,11361,3426046
2018-06,18409,3444455
2018-07,35020,3479475
2018-08,14883,3494358
2018-09,23861,3518219
2018-10,36408,3554627
2018-11,29785,3584412
2018-12,-859,3583553
2019-01,2571,3586124
2019-02,10662,3596786
2019-03,-33956,3562830
2019-04,4269,3567099
2019-05,-11121,3555978
2019-06,8888,3564866
2019-07,18181,3583047
2019-08,36849,3619896
2019-09,49039,3668935
2019-10,44282,3713217
2019-11,52148,3765365
2019-12,35748,3801113
2020-01,5122,3806235
2020-02,-30008,3776227
2020-03,10480,3786707
2020-04,21768,3808475
2020-05,46376,3854851
2020-06,40713,3895564
2020-07,110934,4006498
2020-08,75227,4081725
2020-09,27081,4108806
2020-10,16195,4125001
2020-11,28917,4153918
2020-12,33784,4187702
2021-01,14007,4201709
2021-02,53064,4254773
2021-03,46989,4301762
2021-04,55593,4357355
2021-05,-10797,4346558
2021-06,56994,4403552
2021-07,36291,4439843
2021-08,-18389,4421454
2021-09,16265,4437719
2021-10,-8492,4429227
2021-11,-2569,4426658
2021-12,21091,4447749
2022-01,77621,4525370
2022-02,-48784,4476586
2022-03,94839,4571425
2022-04,-118034,4453391
2022-05,7393,4460784
2022-06,35906,4496690
2022-07,-28688,4468002
2022-08,-33467,4434535
2022-09,-118666,4315869
2022-10,-11866,4304003
2022-11,-29912,4274091
2022-12,12381,4286472
2023-01,48391,4334863
2023-02,-162875,4171988
2023-03,209595,4381583
2023-04,21920,4403503
2023-05,15719,4419222
2023-06,84960,4504182
2023-07,6881,4511063
2023-08,50224,4561287
2023-09,78322,4639609
2023-10,11024,4650633
2023-11,62586,4713219
2023-12,28759,4741978
2024-01,44530,4786508
2024-02,57437,4843945
2024-03,-20568,4823377
2024-04,-49025,4774352
2024-05,565,4774917
2024-06,-17779,4757138
2024-07,30417,4787555
2024-08,31394,4818949
2024-09,40672,4859621
2024-10,30524,4890145
