Date,Monthly Value,Accumulated Value
2015-01,7,7
2015-02,3,10
2015-03,5,15
2015-04,7,22
2015-05,2,24
2015-06,7,31
2015-07,8,39
2015-08,6,45
2015-09,4,49
2015-10,7,56
2015-11,9,65
2015-12,1,66
2016-01,5,71
2016-02,2,73
2016-03,4,77
2016-04,6,83
2016-05,2,85
2016-06,7,92
2016-07,7,99
2016-08,4,103
2016-09,11,114
2016-10,11,125
2016-11,3,128
2016-12,9,137
2017-01,1,138
2017-02,3,141
2017-03,13,154
2017-04,7,161
2017-05,5,166
2017-06,8,174
2017-07,3,177
2017-08,3,180
2017-09,11,191
2017-10,8,199
2017-11,12,211
2017-12,3,214
2018-01,4,218
2018-02,9,227
2018-03,5,232
2018-04,5,237
2018-05,5,242
2018-06,7,249
2018-07,6,255
2018-08,10,265
2018-09,5,270
2018-10,8,278
2018-11,7,285
2018-12,6,291
2019-01,1,292
2019-02,8,300
2019-03,6,306
2019-04,7,313
2019-05,9,322
2019-06,6,328
2019-07,6,334
2019-08,3,337
2019-09,16,353
2019-10,10,363
2019-11,11,374
2019-12,6,380
2020-01,7,387
2020-03,5,392
2020-04,4,396
2020-05,12,408
2020-06,9,417
2020-07,19,436
2020-08,6,442
2020-09,8,450
2020-10,16,466
2020-11,4,470
2020-12,6,476
2021-01,11,487
2021-02,7,494
2021-03,8,502
2021-04,3,505
2021-05,7,512
2021-06,3,515
2021-07,10,525
2021-08,8,533
2021-09,6,539
2021-10,8,547
2021-11,10,557
2021-12,6,563
2022-01,6,569
2022-02,18,587
2022-03,12,599
2022-04,13,612
2022-05,10,622
2022-06,8,630
2022-07,10,640
2022-08,28,668
2022-09,13,681
2022-10,6,687
2022-11,8,695
2022-12,1,696
2023-01,9,705
2023-02,9,714
2023-03,10,724
2023-04,10,734
2023-05,11,745
2023-06,17,762
2023-07,25,787
2023-08,7,794
2023-09,25,819
2023-10,21,840
2023-11,6,846
2023-12,8,854
2024-01,21,875
2024-02,12,887
2024-03,15,902
2024-04,23,925
2024-05,19,944
2024-06,16,960
2024-07,9,969
2024-08,9,978
2024-09,16,994
2024-10,26,1020
