Date,Monthly Value,Accumulated Value
2017-05,25,25
2017-06,41,66
2017-07,73,139
2017-08,39,178
2017-09,70,248
2017-10,71,319
2017-11,47,366
2017-12,104,470
2018-01,49,519
2018-02,87,606
2018-03,85,691
2018-04,76,767
2018-05,53,820
2018-06,40,860
2018-07,64,924
2018-08,91,1015
2018-09,68,1083
2018-10,98,1181
2018-11,139,1320
2018-12,74,1394
2019-01,57,1451
2019-02,82,1533
2019-03,122,1655
2019-04,101,1756
2019-05,112,1868
2019-06,148,2016
2019-07,205,2221
2019-08,162,2383
2019-09,168,2551
2019-10,294,2845
2019-11,200,3045
2019-12,149,3194
2020-01,83,3277
2020-02,117,3394
2020-03,176,3570
2020-04,175,3745
2020-05,139,3884
2020-06,205,4089
2020-07,439,4528
2020-08,306,4834
2020-09,359,5193
2020-10,254,5447
2020-11,212,5659
2020-12,270,5929
2021-01,207,6136
2021-02,248,6384
2021-03,237,6621
2021-04,189,6810
2021-05,210,7020
2021-06,132,7152
2021-07,185,7337
2021-08,188,7525
2021-09,159,7684
2021-10,191,7875
2021-11,227,8102
2021-12,182,8284
2022-01,216,8500
2022-02,114,8614
2022-03,140,8754
2022-04,138,8892
2022-05,109,9001
2022-06,97,9098
2022-07,119,9217
2022-08,121,9338
2022-09,174,9512
2022-10,121,9633
2022-11,154,9787
2022-12,135,9922
2023-01,126,10048
2023-02,144,10192
2023-03,112,10304
2023-04,176,10480
2023-05,144,10624
2023-06,117,10741
2023-07,96,10837
2023-08,98,10935
2023-09,104,11039
2023-10,155,11194
2023-11,195,11389
2023-12,142,11531
2024-01,196,11727
2024-02,393,12120
2024-03,477,12597
2024-04,303,12900
2024-05,313,13213
2024-06,259,13472
2024-07,321,13793
2024-08,226,14019
2024-09,159,14178
2024-10,215,14393
