Date,Monthly Value,Accumulated Value
2015-01,24,24
2015-02,14,38
2015-03,8,46
2015-04,11,57
2015-05,15,72
2015-06,7,79
2015-07,17,96
2015-08,9,105
2015-09,24,129
2015-10,29,158
2015-11,16,174
2015-12,20,194
2016-01,11,205
2016-02,19,224
2016-03,23,247
2016-04,14,261
2016-05,13,274
2016-06,15,289
2016-07,19,308
2016-08,13,321
2016-09,11,332
2016-10,14,346
2016-11,13,359
2016-12,29,388
2017-01,28,416
2017-02,14,430
2017-03,23,453
2017-04,19,472
2017-05,25,497
2017-06,18,515
2017-07,14,529
2017-08,13,542
2017-09,15,557
2017-10,11,568
2017-11,12,580
2017-12,8,588
2018-01,16,604
2018-02,3,607
2018-03,13,620
2018-04,17,637
2018-05,9,646
2018-06,9,655
2018-07,12,667
2018-08,14,681
2018-09,13,694
2018-10,6,700
2018-11,9,709
2018-12,10,719
2019-01,25,744
2019-02,12,756
2019-03,21,777
2019-04,13,790
2019-05,12,802
2019-06,14,816
2019-07,8,824
2019-08,15,839
2019-09,11,850
2019-10,16,866
2019-11,16,882
2019-12,19,901
2020-01,27,928
2020-02,19,947
2020-03,7,954
2020-04,18,972
2020-05,22,994
2020-06,8,1002
2020-07,14,1016
2020-08,6,1022
2020-09,12,1034
2020-10,9,1043
2020-11,3,1046
2020-12,9,1055
2021-01,10,1065
2021-02,18,1083
2021-03,22,1105
2021-04,17,1122
2021-05,11,1133
2021-06,9,1142
2021-07,21,1163
2021-08,16,1179
2021-09,11,1190
2021-10,12,1202
2021-11,8,1210
2021-12,22,1232
2022-01,16,1248
2022-02,9,1257
2022-03,13,1270
2022-04,15,1285
2022-05,16,1301
2022-06,8,1309
2022-07,13,1322
2022-08,14,1336
2022-09,10,1346
2022-10,12,1358
2022-11,13,1371
2022-12,7,1378
2023-01,8,1386
2023-02,15,1401
2023-03,10,1411
2023-04,17,1428
2023-05,17,1445
2023-06,16,1461
2023-07,10,1471
2023-08,8,1479
2023-09,15,1494
2023-10,6,1500
2023-11,7,1507
2023-12,8,1515
2024-01,7,1522
2024-02,9,1531
2024-03,15,1546
2024-04,13,1559
2024-05,14,1573
2024-06,4,1577
2024-07,10,1587
2024-08,7,1594
2024-09,7,1601
2024-10,16,1617
