Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-10,3,4
2015-11,1,5
2015-12,1,6
2016-02,1,7
2016-03,1,8
2016-08,1,9
2016-12,1,10
2017-03,2,12
2017-04,1,13
2017-05,3,16
2017-07,1,17
2018-04,1,18
2018-05,1,19
2018-11,1,20
2019-01,2,22
2019-02,3,25
2019-04,2,27
2019-06,1,28
2020-02,1,29
2020-04,4,33
2020-10,4,37
2020-11,3,40
2020-12,6,46
2021-01,9,55
2021-02,8,63
2021-03,18,81
2021-04,8,89
2021-05,2,91
2021-06,13,104
2021-07,3,107
2021-08,11,118
2021-09,5,123
2021-11,2,125
2021-12,8,133
2022-01,6,139
2022-02,4,143
2022-04,5,148
2022-05,2,150
2022-06,2,152
2022-07,6,158
2022-08,6,164
2022-09,1,165
2022-10,1,166
2022-11,1,167
2022-12,1,168
2023-01,1,169
2023-02,1,170
2023-04,2,172
2023-05,2,174
2023-06,3,177
2023-07,8,185
2023-08,3,188
2023-09,1,189
2023-12,1,190
2024-02,1,191
2024-04,4,195
2024-05,1,196
2024-06,3,199
2024-10,2,201
