Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,1,2
2015-03,3,5
2015-04,9,14
2015-05,3,17
2015-06,1,18
2015-07,6,24
2015-08,5,29
2015-09,7,36
2015-10,2,38
2015-11,5,43
2015-12,2,45
2016-01,6,51
2016-02,6,57
2016-03,2,59
2016-04,3,62
2016-05,5,67
2016-07,4,71
2016-08,2,73
2016-09,113,186
2016-10,91,277
2016-11,226,503
2016-12,156,659
2017-01,74,733
2017-02,265,998
2017-03,614,1612
2017-04,829,2441
2017-05,849,3290
2017-06,1087,4377
2017-07,707,5084
2017-08,728,5812
2017-09,1143,6955
2017-10,970,7925
2017-11,929,8854
2017-12,1056,9910
2018-01,883,10793
2018-02,348,11141
2018-03,276,11417
2018-04,101,11518
2018-05,449,11967
2018-06,287,12254
2018-07,378,12632
2018-08,280,12912
2018-09,381,13293
2018-10,371,13664
2018-11,265,13929
2018-12,273,14202
2019-01,187,14389
2019-02,74,14463
2019-03,84,14547
2019-04,24,14571
2019-05,77,14648
2019-06,72,14720
2019-07,10,14730
2019-08,40,14770
2019-09,7,14777
2019-10,5,14782
2019-11,8,14790
2019-12,5,14795
2020-01,14,14809
2020-02,17,14826
2020-03,32,14858
2020-04,87,14945
2020-05,19,14964
2020-06,11,14975
2020-07,38,15013
2020-08,54,15067
2020-09,64,15131
2020-10,84,15215
2020-11,38,15253
2020-12,71,15324
2021-01,50,15374
2021-02,56,15430
2021-03,44,15474
2021-04,46,15520
2021-05,55,15575
2021-06,66,15641
2021-07,57,15698
2021-08,59,15757
2021-09,102,15859
2021-10,60,15919
2021-11,34,15953
2021-12,27,15980
2022-01,30,16010
2022-02,32,16042
2022-03,75,16117
2022-04,148,16265
2022-05,137,16402
2022-06,184,16586
2022-07,168,16754
2022-08,175,16929
2022-09,197,17126
2022-10,223,17349
2022-11,295,17644
2022-12,231,17875
2023-01,225,18100
2023-02,217,18317
2023-03,182,18499
2023-04,111,18610
2023-05,30,18640
2023-06,41,18681
2023-07,35,18716
2023-08,20,18736
2023-09,33,18769
2023-10,26,18795
2023-11,32,18827
2023-12,30,18857
2024-01,9,18866
2024-02,25,18891
2024-03,6,18897
2024-04,15,18912
2024-05,21,18933
2024-06,18,18951
2024-07,62,19013
2024-08,15,19028
2024-09,24,19052
2024-10,6,19058
