Date,Monthly Value,Accumulated Value
2015-11,98,98
2015-12,75,173
2016-01,62,235
2016-02,40,275
2016-03,27,302
2016-04,45,347
2016-05,87,434
2016-06,32,466
2016-07,70,536
2016-08,171,707
2016-09,146,853
2016-10,93,946
2016-11,97,1043
2016-12,74,1117
2017-01,65,1182
2017-02,132,1314
2017-03,154,1468
2017-04,117,1585
2017-05,208,1793
2017-06,168,1961
2017-07,140,2101
2017-08,131,2232
2017-09,54,2286
2017-10,107,2393
2017-11,313,2706
2017-12,154,2860
2018-01,173,3033
2018-02,151,3184
2018-03,223,3407
2018-04,146,3553
2018-05,186,3739
2018-06,82,3821
2018-07,133,3954
2018-08,103,4057
2018-09,50,4107
2018-10,100,4207
2018-11,135,4342
2018-12,97,4439
2019-01,155,4594
2019-02,140,4734
2019-03,126,4860
2019-04,287,5147
2019-05,241,5388
2019-06,182,5570
2019-07,221,5791
2019-08,297,6088
2019-09,362,6450
2019-10,347,6797
2019-11,326,7123
2019-12,459,7582
2020-01,531,8113
2020-02,415,8528
2020-03,300,8828
2020-04,175,9003
2020-05,296,9299
2020-06,350,9649
2020-07,286,9935
2020-08,282,10217
2020-09,175,10392
2020-10,227,10619
2020-11,250,10869
2020-12,174,11043
2021-01,231,11274
2021-02,137,11411
2021-03,152,11563
2021-04,142,11705
2021-05,201,11906
2021-06,196,12102
2021-07,210,12312
2021-08,188,12500
2021-09,131,12631
2021-10,155,12786
2021-11,169,12955
2021-12,144,13099
2022-01,149,13248
2022-02,100,13348
2022-03,199,13547
2022-04,141,13688
2022-05,70,13758
2022-06,147,13905
2022-07,156,14061
2022-08,106,14167
2022-09,139,14306
2022-10,126,14432
2022-11,142,14574
2022-12,117,14691
2023-01,75,14766
2023-02,159,14925
2023-03,218,15143
2023-04,127,15270
2023-05,131,15401
2023-06,151,15552
2023-07,193,15745
2023-08,205,15950
2023-09,148,16098
2023-10,188,16286
2023-11,87,16373
2023-12,85,16458
2024-01,162,16620
2024-02,129,16749
2024-03,170,16919
2024-04,305,17224
2024-05,162,17386
2024-06,190,17576
2024-07,91,17667
2024-08,61,17728
2024-09,50,17778
2024-10,85,17863
