Date,Monthly Value,Accumulated Value
2015-11,7.31,7.31
2015-12,8.35,15.66
2016-01,8.65,24.310000000000002
2016-02,8.34,32.650000000000006
2016-03,6.33,38.980000000000004
2016-04,10.01,48.99
2016-05,14.53,63.52
2016-06,13.81,77.33
2016-07,12.89,90.22
2016-08,17.34,107.56
2016-09,17.98,125.54
2016-10,19.04,144.58
2016-11,20.39,164.97000000000003
2016-12,20.55,185.52000000000004
2017-01,18.66,204.18000000000004
2017-02,19.17,223.35000000000002
2017-03,19.17,242.52000000000004
2017-04,17.63,260.15000000000003
2017-05,19.35,279.50000000000006
2017-06,21.92,301.4200000000001
2017-07,21.58,323.00000000000006
2017-08,22.89,345.89000000000004
2017-09,17.38,363.27000000000004
2017-10,13.76,377.03000000000003
2017-11,16.37,393.40000000000003
2017-12,17.46,410.86
2018-01,20.64,431.5
2018-02,20.3,451.8
2018-03,19.41,471.21000000000004
2018-04,17.35,488.56000000000006
2018-05,19.16,507.7200000000001
2018-06,19.89,527.6100000000001
2018-07,18.91,546.5200000000001
2018-08,17.42,563.94
2018-09,15.18,579.12
2018-10,15.73,594.85
2018-11,14.1,608.95
2018-12,13.83,622.7800000000001
2019-01,18.46,641.2400000000001
2019-02,19.09,660.3300000000002
2019-03,18.11,678.4400000000002
2019-04,22.47,700.9100000000002
2019-05,26.1,727.0100000000002
2019-06,25.67,752.6800000000002
2019-07,23.78,776.4600000000002
2019-08,32.05,808.5100000000001
2019-09,40.11,848.6200000000001
2019-10,39.43,888.0500000000001
2019-11,38.53,926.58
2019-12,40.59,967.1700000000001
2020-01,38,1005.1700000000001
2020-02,35.52,1040.69
2020-03,38.6,1079.29
2020-04,26.93,1106.22
2020-05,35.63,1141.8500000000001
2020-06,37.86,1179.71
2020-07,37.07,1216.78
2020-08,34.41,1251.19
2020-09,34.33,1285.52
2020-10,33.11,1318.6299999999999
2020-11,39.37,1357.9999999999998
2020-12,30.64,1388.6399999999999
2021-01,34.72,1423.36
2021-02,28.59,1451.9499999999998
2021-03,30.91,1482.86
2021-04,26.67,1509.53
2021-05,32.44,1541.97
2021-06,32.75,1574.72
2021-07,32.56,1607.28
2021-08,35,1642.28
2021-09,31.97,1674.25
2021-10,31,1705.25
2021-11,28.64,1733.89
2021-12,29.2,1763.0900000000001
2022-01,32.76,1795.8500000000001
2022-02,33.53,1829.38
2022-03,35.37,1864.75
2022-04,40.4,1905.15
2022-05,36.58,1941.73
2022-06,36.9,1978.63
2022-07,30.47,2009.1000000000001
2022-08,30,2039.1000000000001
2022-09,31.22,2070.32
2022-10,24.61,2094.9300000000003
2022-11,22.98,2117.9100000000003
2022-12,24.63,2142.5400000000004
2023-01,26.29,2168.8300000000004
2023-02,27.59,2196.4200000000005
2023-03,37.25,2233.6700000000005
2023-04,34.16,2267.8300000000004
2023-05,39.75,2307.5800000000004
2023-06,39.32,2346.9000000000005
2023-07,36.4,2383.3000000000006
2023-08,30.26,2413.560000000001
2023-09,28.57,2442.130000000001
2023-10,31.97,2474.100000000001
2023-11,25.64,2499.7400000000007
2023-12,23.16,2522.9000000000005
2024-01,24.8,2547.7000000000007
2024-02,22.55,2570.250000000001
2024-03,24.9,2595.150000000001
2024-04,35.34,2630.490000000001
2024-05,34.23,2664.720000000001
2024-06,34.91,2699.630000000001
2024-07,23.66,2723.290000000001
2024-08,16.21,2739.500000000001
2024-09,18.17,2757.670000000001
2024-10,17.81,2775.480000000001
