Date,Monthly Value,Accumulated Value
2017-09,3,3
2017-10,9,12
2017-11,6,18
2017-12,6,24
2018-01,5,29
2018-02,4,33
2018-03,7,40
2018-04,5,45
2018-05,9,54
2018-06,4,58
2018-07,5,63
2018-08,8,71
2018-09,4,75
2018-10,8,83
2018-11,4,87
2018-12,4,91
2019-01,2,93
2019-02,5,98
2019-03,6,104
2019-04,8,112
2019-05,4,116
2019-06,6,122
2019-07,6,128
2019-08,6,134
2019-09,11,145
2019-10,3,148
2019-11,6,154
2019-12,7,161
2020-01,5,166
2020-02,8,174
2020-03,6,180
2020-04,3,183
2020-05,3,186
2020-06,7,193
2020-07,5,198
2020-08,4,202
2020-09,5,207
2020-10,5,212
2020-11,4,216
2020-12,4,220
2021-01,4,224
2021-02,6,230
2021-03,4,234
2021-04,10,244
2021-05,7,251
2021-06,10,261
2021-07,6,267
2021-08,6,273
2021-09,4,277
2021-10,8,285
2021-11,11,296
2021-12,11,307
2022-01,7,314
2022-02,7,321
2022-03,4,325
2022-04,3,328
2022-05,5,333
2022-06,2,335
2022-07,7,342
2022-08,5,347
2022-09,8,355
2022-10,7,362
2022-11,9,371
2022-12,7,378
2023-01,7,385
2023-02,12,397
2023-03,15,412
2023-04,10,422
2023-05,4,426
2023-06,5,431
2023-07,9,440
2023-08,9,449
2023-09,5,454
2023-10,3,457
2023-11,6,463
2023-12,8,471
2024-01,5,476
2024-02,11,487
2024-03,9,496
2024-04,8,504
2024-05,8,512
2024-06,6,518
2024-07,12,530
2024-08,8,538
2024-09,6,544
2024-10,6,550
