Date,Monthly Value,Accumulated Value
2015-01,9,9
2015-03,6,15
2015-05,5,20
2015-06,2,22
2015-07,2,24
2015-08,3,27
2015-10,4,31
2015-11,5,36
2015-12,5,41
2016-02,2,43
2016-03,4,47
2016-04,4,51
2016-05,1,52
2016-06,4,56
2016-07,5,61
2016-08,2,63
2016-09,1,64
2016-10,1,65
2016-11,4,69
2016-12,1,70
2017-01,4,74
2017-02,4,78
2017-03,3,81
2017-04,10,91
2017-05,7,98
2017-06,2,100
2017-07,5,105
2017-09,2,107
2017-11,4,111
2017-12,6,117
2018-01,3,120
2018-02,5,125
2018-03,3,128
2018-04,2,130
2018-05,5,135
2018-06,2,137
2018-09,1,138
2018-10,3,141
2018-12,1,142
2019-01,6,148
2019-02,7,155
2019-04,7,162
2019-05,3,165
2019-09,4,169
2019-10,1,170
2019-11,5,175
2020-02,1,176
2020-03,1,177
2020-07,1,178
2020-08,3,181
2020-09,1,182
2020-10,1,183
2020-11,1,184
2021-01,1,185
2021-03,1,186
2021-05,3,189
2021-06,1,190
2021-07,1,191
2021-09,2,193
2021-12,1,194
2022-01,3,197
2022-03,5,202
2022-04,6,208
2022-06,2,210
2022-08,2,212
2022-09,5,217
2022-10,1,218
2023-04,2,220
2023-05,2,222
2023-06,3,225
2023-07,2,227
