Date,Monthly Value,Accumulated Value
2018-05,25,25
2018-06,29,54
2018-07,12,66
2018-08,21,87
2018-09,16,103
2018-10,32,135
2018-11,39,174
2018-12,26,200
2019-01,30,230
2019-02,23,253
2019-03,32,285
2019-04,34,319
2019-05,34,353
2019-06,29,382
2019-07,34,416
2019-08,29,445
2019-09,30,475
2019-10,26,501
2019-11,34,535
2019-12,28,563
2020-01,28,591
2020-02,25,616
2020-03,34,650
2020-04,29,679
2020-05,33,712
2020-06,31,743
2020-07,42,785
2020-08,30,815
2020-09,24,839
2020-10,36,875
2020-11,32,907
2020-12,26,933
2021-01,21,954
2021-02,21,975
2021-03,30,1005
2021-04,23,1028
2021-05,23,1051
2021-06,30,1081
2021-07,11,1092
2021-08,12,1104
2021-09,30,1134
2021-10,22,1156
2021-11,20,1176
2021-12,16,1192
2022-01,22,1214
2022-02,20,1234
2022-03,10,1244
2022-04,24,1268
2022-05,18,1286
2022-06,37,1323
2022-07,19,1342
2022-08,53,1395
2022-09,11,1406
2022-10,23,1429
2022-11,19,1448
2022-12,7,1455
2023-01,21,1476
2023-02,16,1492
2023-03,12,1504
2023-04,11,1515
2023-05,11,1526
2023-06,15,1541
2023-07,24,1565
2023-08,18,1583
2023-09,24,1607
2023-10,19,1626
2023-11,23,1649
2023-12,21,1670
2024-01,15,1685
2024-02,12,1697
2024-03,13,1710
2024-04,18,1728
2024-05,13,1741
2024-06,35,1776
2024-07,13,1789
2024-08,13,1802
2024-09,7,1809
2024-10,11,1820
