Date,Monthly Value,Accumulated Value
2018-05,58,58
2018-06,32,90
2018-07,25,115
2018-08,13,128
2018-09,11,139
2018-10,33,172
2018-11,33,205
2018-12,20,225
2019-01,22,247
2019-02,28,275
2019-03,35,310
2019-04,26,336
2019-05,39,375
2019-06,22,397
2019-07,41,438
2019-08,22,460
2019-09,18,478
2019-10,24,502
2019-11,39,541
2019-12,32,573
2020-01,20,593
2020-02,19,612
2020-03,30,642
2020-04,23,665
2020-05,26,691
2020-06,29,720
2020-07,41,761
2020-08,26,787
2020-09,22,809
2020-10,26,835
2020-11,19,854
2020-12,17,871
2021-01,13,884
2021-02,19,903
2021-03,14,917
2021-04,11,928
2021-05,13,941
2021-06,25,966
2021-07,7,973
2021-08,13,986
2021-09,17,1003
2021-10,15,1018
2021-11,14,1032
2021-12,14,1046
2022-01,14,1060
2022-02,12,1072
2022-03,19,1091
2022-04,13,1104
2022-05,8,1112
2022-06,10,1122
2022-07,7,1129
2022-08,6,1135
2022-09,11,1146
2022-10,18,1164
2022-11,10,1174
2022-12,6,1180
2023-01,13,1193
2023-02,7,1200
2023-03,14,1214
2023-04,6,1220
2023-05,11,1231
2023-06,10,1241
2023-07,10,1251
2023-08,7,1258
2023-09,13,1271
2023-10,9,1280
2023-11,17,1297
2023-12,8,1305
2024-01,2,1307
2024-02,10,1317
2024-03,5,1322
2024-04,9,1331
2024-05,5,1336
2024-06,9,1345
2024-07,6,1351
2024-08,4,1355
2024-09,11,1366
2024-10,9,1375
