Date,Monthly Value,Accumulated Value
2019-04,30.34,30.34
2019-05,32.04,62.379999999999995
2019-06,12.56,74.94
2019-07,8.42,83.36
2019-08,25.98,109.34
2019-09,24.8,134.14000000000001
2019-10,13.78,147.92000000000002
2019-11,32.75,180.67000000000002
2019-12,37.16,217.83
2020-01,32.32,250.15
2020-02,49.32,299.47
2020-03,30.96,330.43
2020-04,34.65,365.08
2020-05,36.75,401.83
2020-06,43.17,445.0
2020-07,45.92,490.92
2020-08,32.75,523.6700000000001
2020-09,40.65,564.32
2020-10,35.27,599.59
2020-11,47.66,647.25
2020-12,51.42,698.67
2021-01,27.41,726.0799999999999
2021-02,31.03,757.1099999999999
2021-03,41.39,798.4999999999999
2021-04,30.81,829.3099999999998
2021-05,36.54,865.8499999999998
2021-06,30.64,896.4899999999998
2021-07,36.35,932.8399999999998
2021-08,36.33,969.1699999999998
2021-09,41.95,1011.1199999999999
2021-10,36,1047.12
2021-11,32.3,1079.4199999999998
2021-12,31.81,1111.2299999999998
2022-01,54.13,1165.36
2022-02,27.32,1192.6799999999998
2022-03,45.19,1237.87
2022-04,24.53,1262.3999999999999
2022-05,40.47,1302.87
2022-06,28.58,1331.4499999999998
2022-07,35.63,1367.08
2022-08,26.36,1393.4399999999998
2022-09,33.57,1427.0099999999998
2022-10,32.14,1459.1499999999999
2022-11,46.35,1505.4999999999998
2022-12,44.06,1549.5599999999997
2023-01,41.45,1591.0099999999998
2023-02,37.14,1628.1499999999999
2023-03,45.96,1674.11
2023-04,31.66,1705.77
2023-05,41.24,1747.01
2023-06,31.69,1778.7
2023-07,42.21,1820.91
2023-08,36.19,1857.1000000000001
2023-09,26.83,1883.93
2023-10,36.94,1920.8700000000001
2023-11,32.83,1953.7
2023-12,37.03,1990.73
2024-01,32.75,2023.48
2024-02,45.06,2068.54
2024-03,44.78,2113.32
2024-04,40.02,2153.34
2024-05,34.27,2187.61
2024-06,26.23,2213.84
2024-07,20.78,2234.6200000000003
2024-08,28.69,2263.3100000000004
2024-09,37.66,2300.9700000000003
2024-10,45.8,2346.7700000000004
