Date,Monthly Value,Accumulated Value
2019-05,4,4
2019-08,4,8
2019-09,4,12
2019-12,3,15
2020-01,3,18
2020-02,2,20
2020-03,2,22
2020-04,1,23
2020-05,1,24
2020-06,1,25
2020-07,1,26
2020-08,1,27
2020-09,2,29
2020-10,1,30
2020-11,1,31
2020-12,1,32
2021-01,1,33
2021-02,1,34
2021-04,1,35
2021-05,1,36
2021-06,1,37
2021-07,2,39
2021-08,1,40
2021-09,2,42
2021-12,1,43
2022-01,6,49
2022-02,1,50
2022-04,1,51
2022-05,1,52
2022-07,1,53
2022-09,2,55
2022-12,1,56
2023-04,3,59
2023-05,2,61
2023-06,1,62
2023-07,2,64
2023-10,2,66
2023-12,1,67
2024-02,1,68
2024-03,2,70
2024-05,1,71
