Date,Monthly Value,Accumulated Value
2015-01,14.05,14.05
2015-02,15.19,29.240000000000002
2015-03,14.77,44.010000000000005
2015-04,24.62,68.63000000000001
2015-05,14.97,83.60000000000001
2015-06,23.5,107.10000000000001
2015-07,12.03,119.13000000000001
2015-08,9.24,128.37
2015-09,5.95,134.32
2015-10,4.74,139.06
2015-11,19.65,158.71
2016-01,2.74,161.45000000000002
2016-02,8.25,169.70000000000002
2016-03,8.07,177.77
2016-04,5.76,183.53
2016-05,8.04,191.57
2016-06,14.87,206.44
2016-07,14.98,221.42
2016-08,12.7,234.11999999999998
2016-09,14.33,248.45
2016-10,3.87,252.32
2016-11,10.21,262.53
2016-12,24.35,286.88
2017-01,7.08,293.96
2017-02,16.9,310.85999999999996
2017-03,13.41,324.27
2017-04,7.42,331.69
2017-05,8.63,340.32
2017-06,6.24,346.56
2017-07,5.57,352.13
2017-08,7.17,359.3
2017-09,17.86,377.16
2017-10,7.94,385.1
2017-11,19.3,404.40000000000003
2017-12,19.59,423.99
2018-01,18.81,442.8
2018-02,13.73,456.53000000000003
2018-03,16.2,472.73
2018-04,9.85,482.58000000000004
2018-05,7.47,490.05000000000007
2018-06,11.37,501.4200000000001
2018-07,0.72,502.1400000000001
2018-08,12.14,514.2800000000001
2018-09,15.36,529.6400000000001
2018-10,9.45,539.0900000000001
2018-11,2.74,541.8300000000002
2018-12,3.17,545.0000000000001
2019-01,10.02,555.0200000000001
2019-02,4.3,559.32
2019-03,4.76,564.08
2019-04,8.28,572.36
2019-05,7.35,579.71
2019-06,8.92,588.63
2019-07,5.38,594.01
2019-08,9.17,603.18
2019-10,4.91,608.0899999999999
2019-11,5.51,613.5999999999999
2019-12,11.25,624.8499999999999
2020-01,16.4,641.2499999999999
2020-02,7.86,649.1099999999999
2020-03,12.81,661.9199999999998
2020-04,4.03,665.9499999999998
2020-05,11.63,677.5799999999998
2020-06,12.85,690.4299999999998
2020-07,12.33,702.7599999999999
2020-08,22.91,725.6699999999998
2020-09,36.04,761.7099999999998
2020-10,28.57,790.2799999999999
2020-11,24.84,815.1199999999999
2020-12,21.08,836.1999999999999
2021-01,41.87,878.0699999999999
2021-02,35.15,913.2199999999999
2021-03,28.95,942.17
2021-04,23.42,965.5899999999999
2021-05,28.55,994.1399999999999
2021-06,29.71,1023.8499999999999
2021-07,41.21,1065.06
2021-08,15.72,1080.78
2021-09,31.15,1111.93
2021-10,27,1138.93
2021-11,29.81,1168.74
2021-12,24.9,1193.64
2022-01,31.13,1224.7700000000002
2022-02,32.17,1256.9400000000003
2022-03,34.68,1291.6200000000003
2022-04,38.05,1329.6700000000003
2022-05,33.96,1363.6300000000003
2022-06,25.9,1389.5300000000004
2022-07,23.32,1412.8500000000004
2022-08,20.18,1433.0300000000004
2022-09,21.25,1454.2800000000004
2022-10,34.74,1489.0200000000004
2022-11,40.25,1529.2700000000004
2022-12,19.9,1549.1700000000005
2023-01,35.39,1584.5600000000006
2023-02,34.21,1618.7700000000007
2023-03,26.81,1645.5800000000006
2023-04,28.53,1674.1100000000006
2023-05,33.04,1707.1500000000005
2023-06,37.79,1744.9400000000005
2023-07,25.18,1770.1200000000006
2023-08,41,1811.1200000000006
2023-09,37.04,1848.1600000000005
2023-10,40.6,1888.7600000000004
2023-11,38.31,1927.0700000000004
2023-12,28.88,1955.9500000000005
2024-01,27.6,1983.5500000000004
2024-02,33.22,2016.7700000000004
2024-03,45.25,2062.0200000000004
2024-04,38.87,2100.8900000000003
2024-05,44.92,2145.8100000000004
2024-06,37.44,2183.2500000000005
2024-07,46.71,2229.9600000000005
2024-08,35.31,2265.2700000000004
2024-09,37.73,2303.0000000000005
2024-10,43.59,2346.5900000000006
