Date,Monthly Value,Accumulated Value
2015-01,11,11
2015-02,6,17
2015-03,12,29
2015-04,11,40
2015-05,12,52
2015-06,7,59
2015-07,12,71
2015-08,12,83
2015-09,12,95
2015-10,5,100
2015-11,10,110
2015-12,13,123
2016-01,9,132
2016-02,9,141
2016-03,13,154
2016-04,5,159
2016-05,13,172
2016-06,14,186
2016-07,7,193
2016-08,16,209
2016-09,12,221
2016-10,9,230
2016-11,9,239
2016-12,5,244
2017-01,11,255
2017-02,3,258
2017-03,15,273
2017-04,8,281
2017-05,11,292
2017-06,5,297
2017-07,14,311
2017-08,7,318
2017-09,13,331
2017-10,8,339
2017-11,5,344
2017-12,10,354
2018-01,2,356
2018-02,3,359
2018-03,7,366
2018-04,4,370
2018-05,6,376
2018-06,6,382
2018-07,9,391
2018-08,6,397
2018-09,4,401
2018-10,5,406
2018-11,7,413
2018-12,6,419
2019-01,11,430
2019-02,2,432
2019-03,2,434
2019-04,3,437
2019-05,8,445
2019-06,5,450
2019-07,6,456
2019-08,9,465
2019-09,4,469
2019-10,5,474
2019-11,6,480
2019-12,7,487
2020-01,3,490
2020-02,4,494
2020-03,3,497
2020-04,7,504
2020-05,5,509
2020-06,5,514
2020-07,4,518
2020-08,8,526
2020-09,2,528
2020-10,4,532
2020-11,4,536
2020-12,6,542
2021-01,4,546
2021-02,3,549
2021-03,1,550
2021-04,3,553
2021-05,5,558
2021-06,7,565
2021-07,4,569
2021-08,9,578
2021-09,3,581
2021-11,1,582
2021-12,3,585
2022-01,7,592
2022-02,6,598
2022-03,6,604
2022-04,2,606
2022-05,2,608
2022-07,3,611
2022-08,3,614
2022-09,4,618
2022-10,4,622
2022-11,2,624
2022-12,5,629
2023-01,4,633
2023-02,4,637
2023-03,2,639
2023-04,1,640
2023-05,6,646
2023-06,3,649
2023-07,2,651
2023-08,1,652
2023-09,1,653
2023-10,2,655
2023-11,3,658
2023-12,3,661
2024-01,3,664
2024-02,1,665
2024-03,5,670
2024-05,4,674
2024-06,1,675
2024-08,2,677
2024-09,3,680
