Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-02,5,6
2015-03,9,15
2015-04,13,28
2015-05,11,39
2015-06,9,48
2015-07,16,64
2015-08,18,82
2015-09,14,96
2015-10,13,109
2015-11,12,121
2015-12,16,137
2016-01,15,152
2016-02,17,169
2016-03,13,182
2016-04,9,191
2016-05,21,212
2016-06,20,232
2016-07,10,242
2016-08,12,254
2016-09,7,261
2016-10,13,274
2016-11,12,286
2016-12,12,298
2017-01,9,307
2017-02,10,317
2017-03,15,332
2017-04,7,339
2017-05,13,352
2017-06,9,361
2017-07,18,379
2017-08,30,409
2017-09,6,415
2017-10,8,423
2017-11,12,435
2017-12,12,447
2018-01,18,465
2018-02,11,476
2018-03,17,493
2018-04,4,497
2018-05,14,511
2018-06,17,528
2018-07,8,536
2018-08,24,560
2018-09,13,573
2018-10,25,598
2018-11,13,611
2018-12,15,626
2019-01,17,643
2019-02,14,657
2019-03,26,683
2019-04,23,706
2019-05,23,729
2019-06,22,751
2019-07,19,770
2019-08,21,791
2019-09,12,803
2019-10,17,820
2019-11,28,848
2019-12,20,868
2020-01,11,879
2020-02,20,899
2020-03,23,922
2020-04,21,943
2020-05,18,961
2020-06,26,987
2020-07,19,1006
2020-08,13,1019
2020-09,10,1029
2020-10,18,1047
2020-11,21,1068
2020-12,20,1088
2021-01,5,1093
2021-02,9,1102
2021-03,12,1114
2021-04,10,1124
2021-05,6,1130
2021-06,14,1144
2021-07,10,1154
2021-08,8,1162
2021-09,22,1184
2021-10,15,1199
2021-11,11,1210
2021-12,12,1222
2022-01,9,1231
2022-02,11,1242
2022-03,15,1257
2022-04,15,1272
2022-05,17,1289
2022-06,9,1298
2022-07,4,1302
2022-08,19,1321
2022-09,7,1328
2022-10,17,1345
2022-11,10,1355
2022-12,2,1357
2023-01,9,1366
2023-02,14,1380
2023-03,13,1393
2023-04,8,1401
2023-05,13,1414
2023-06,9,1423
2023-07,6,1429
2023-08,12,1441
2023-09,13,1454
2023-10,10,1464
2023-11,9,1473
