Date,Monthly Value,Accumulated Value
2015-02,231,231
2015-03,2,233
2015-04,17,250
2015-05,16,266
2015-07,33,299
2015-09,251,550
2015-10,95,645
2016-01,-18,627
2016-02,126,753
2016-03,40,793
2016-05,-4,789
2016-06,2,791
2016-08,273,1064
2016-09,60,1124
2016-10,39324,40448
2016-11,-43878,-3430
2017-01,418,-3012
2017-05,84,-2928
2017-07,42,-2886
2017-09,98,-2788
2017-10,-43343,-46131
2017-11,84,-46047
2018-01,174,-45873
2018-03,160,-45713
2018-05,133,-45580
2018-06,4,-45576
2018-12,15,-45561
2019-03,65,-45496
2019-04,149,-45347
2019-05,1,-45346
2019-06,60,-45286
2019-07,190,-45096
2019-11,93,-45003
2019-12,517,-44486
2020-01,1140,-43346
2020-02,345,-43001
2020-03,98,-42903
2020-04,98,-42805
2020-05,100,-42705
2020-06,2,-42703
2020-09,44,-42659
2020-10,61,-42598
2020-11,53,-42545
2021-01,1383,-41162
2021-06,201,-40961
2021-08,5,-40956
2021-09,93,-40863
2021-10,70,-40793
2021-12,93,-40700
2022-01,38,-40662
2022-04,18,-40644
2022-06,49,-40595
2022-11,389,-40206
2023-02,284,-39922
2023-04,31,-39891
2023-05,-17738,-57629
2023-06,-17216,-74845
2023-08,103,-74742
2023-09,262,-74480
2023-10,9,-74471
