Date,Monthly Value,Accumulated Value
2016-03,1.49,1.49
2016-04,28.15,29.639999999999997
2016-05,48.85,78.49
2016-06,24.78,103.27
2016-07,25.49,128.76
2016-08,61.95,190.70999999999998
2016-09,45.66,236.36999999999998
2016-10,32.85,269.21999999999997
2016-11,44.5,313.71999999999997
2016-12,30.3,344.02
2017-01,36.08,380.09999999999997
2017-02,41.9,421.99999999999994
2017-03,68.61,490.60999999999996
2017-04,69.38,559.99
2017-05,50.87,610.86
2017-06,64.97,675.83
2017-07,57.71,733.5400000000001
2017-08,77.48,811.0200000000001
2017-09,54.83,865.8500000000001
2017-10,48.2,914.0500000000002
2017-11,62.55,976.6000000000001
2017-12,46.58,1023.1800000000002
2018-01,42.58,1065.7600000000002
2018-02,40.94,1106.7000000000003
2018-03,45.19,1151.8900000000003
2018-04,39.04,1190.9300000000003
2018-05,26.99,1217.9200000000003
2018-06,48.6,1266.5200000000002
2018-07,43.87,1310.39
2018-08,47.18,1357.5700000000002
2018-09,43.36,1400.93
2018-10,54.77,1455.7
2018-11,58.58,1514.28
2018-12,40.19,1554.47
2019-01,48.89,1603.3600000000001
2019-02,74.6,1677.96
2019-03,52.69,1730.65
2019-04,52.89,1783.5400000000002
2019-05,45.42,1828.9600000000003
2019-06,33.57,1862.5300000000002
2019-07,41.8,1904.3300000000002
2019-08,35.25,1939.5800000000002
2019-09,39.08,1978.66
2019-10,49.57,2028.23
2019-11,46.15,2074.38
2019-12,17.25,2091.63
2020-01,45.88,2137.51
2020-02,54.23,2191.7400000000002
2020-03,52.18,2243.92
2020-04,44.79,2288.71
2020-05,50.62,2339.33
2020-06,57.02,2396.35
2020-07,56.8,2453.15
2020-08,44.23,2497.38
2020-09,62.5,2559.88
2020-10,53.2,2613.08
2020-11,58.49,2671.5699999999997
2020-12,38.52,2710.0899999999997
2021-01,67.06,2777.1499999999996
2021-02,47.57,2824.72
2021-03,47.67,2872.39
2021-04,50.33,2922.72
2021-05,91.92,3014.64
2021-06,93.72,3108.3599999999997
2021-07,68.33,3176.6899999999996
2021-08,45.97,3222.6599999999994
2021-09,55.45,3278.109999999999
2021-10,66,3344.109999999999
2021-11,92.23,3436.3399999999992
2021-12,48.11,3484.4499999999994
2022-01,71.65,3556.0999999999995
2022-02,72.19,3628.2899999999995
2022-03,78.32,3706.6099999999997
2022-04,104.23,3810.8399999999997
2022-05,84.9,3895.74
2022-06,70.45,3966.1899999999996
2022-07,55.58,4021.7699999999995
2022-08,79.58,4101.349999999999
2022-09,45.54,4146.889999999999
2022-10,81.35,4228.24
2022-11,76.51,4304.75
2022-12,51.05,4355.8
2023-01,52.78,4408.58
2023-02,43.95,4452.53
2023-03,38.78,4491.3099999999995
2023-04,32.1,4523.41
2023-05,38.1,4561.51
2023-06,33.39,4594.900000000001
2023-07,51.8,4646.700000000001
2023-08,47.74,4694.4400000000005
2023-09,37.48,4731.92
2023-10,38.9,4770.82
2023-11,35.81,4806.63
2023-12,27.47,4834.1
2024-01,35.13,4869.2300000000005
2024-02,28.36,4897.59
2024-03,33.23,4930.82
2024-04,22.49,4953.3099999999995
2024-05,32.9,4986.209999999999
2024-06,23.96,5010.169999999999
2024-07,37.69,5047.859999999999
2024-08,24.15,5072.009999999998
2024-09,23.24,5095.249999999998
2024-10,17.19,5112.439999999998
