Date,Monthly Value,Accumulated Value
2015-01,34,34
2015-02,17,51
2015-03,33,84
2015-04,37,121
2015-05,31,152
2015-06,29,181
2015-07,18,199
2015-08,24,223
2015-09,26,249
2015-10,24,273
2015-11,24,297
2015-12,25,322
2016-01,30,352
2016-02,19,371
2016-03,31,402
2016-04,33,435
2016-05,34,469
2016-06,20,489
2016-07,28,517
2016-08,25,542
2016-09,32,574
2016-10,22,596
2016-11,23,619
2016-12,26,645
2017-01,22,667
2017-02,21,688
2017-03,21,709
2017-04,23,732
2017-05,26,758
2017-06,22,780
2017-07,20,800
2017-08,22,822
2017-09,22,844
2017-10,25,869
2017-11,29,898
2017-12,19,917
2018-01,27,944
2018-02,28,972
2018-03,30,1002
2018-04,25,1027
2018-05,26,1053
2018-06,29,1082
2018-07,14,1096
2018-08,22,1118
2018-09,22,1140
2018-10,24,1164
2018-11,63,1227
2018-12,23,1250
2019-01,24,1274
2019-02,15,1289
2019-03,24,1313
2019-04,38,1351
2019-05,26,1377
2019-06,24,1401
2019-07,25,1426
2019-08,21,1447
2019-09,25,1472
2019-10,21,1493
2019-11,20,1513
2019-12,41,1554
2020-01,24,1578
2020-02,20,1598
2020-03,22,1620
2020-04,27,1647
2020-05,22,1669
2020-06,29,1698
2020-07,29,1727
2020-08,16,1743
2020-09,25,1768
2020-10,13,1781
2020-11,15,1796
2020-12,27,1823
2021-01,18,1841
2021-02,11,1852
2021-03,20,1872
2021-04,10,1882
2021-05,20,1902
2021-06,15,1917
2021-07,16,1933
2021-08,17,1950
2021-09,15,1965
2021-10,18,1983
2021-11,19,2002
2021-12,24,2026
2022-01,20,2046
2022-02,13,2059
2022-03,23,2082
2022-04,18,2100
2022-05,14,2114
2022-06,17,2131
2022-07,8,2139
2022-08,14,2153
2022-09,10,2163
2022-10,19,2182
2022-11,22,2204
2022-12,8,2212
2023-01,21,2233
2023-02,21,2254
2023-03,11,2265
2023-04,18,2283
2023-05,17,2300
2023-06,10,2310
2023-07,13,2323
2023-08,12,2335
2023-09,8,2343
2023-10,10,2353
2023-11,13,2366
2023-12,7,2373
2024-01,11,2384
2024-02,8,2392
2024-03,4,2396
2024-04,10,2406
2024-05,13,2419
2024-06,16,2435
2024-07,17,2452
2024-08,11,2463
2024-09,17,2480
2024-10,15,2495
