Date,Monthly Value,Accumulated Value
2016-07,1,1
2016-08,1,2
2016-11,2,4
2016-12,1,5
2017-01,1,6
2017-02,3,9
2017-03,4,13
2017-04,2,15
2017-05,4,19
2017-06,5,24
2017-08,1,25
2017-09,1,26
2017-10,1,27
2017-11,5,32
2017-12,3,35
2018-01,1,36
2018-02,1,37
2018-04,3,40
2018-06,2,42
2018-07,3,45
2018-08,1,46
2018-10,2,48
2018-11,3,51
2019-01,2,53
2019-02,1,54
2019-03,3,57
2019-04,7,64
2019-05,1,65
2019-06,2,67
2019-07,1,68
2019-08,3,71
2019-09,4,75
2019-11,3,78
2019-12,4,82
2020-02,1,83
2020-03,3,86
2020-04,1,87
2020-05,3,90
2020-06,1,91
2020-07,1,92
2020-08,2,94
2020-11,2,96
2020-12,1,97
2021-01,2,99
2021-02,2,101
2021-03,2,103
2021-04,1,104
2021-06,4,108
2021-07,2,110
2021-08,1,111
2021-09,3,114
2021-11,3,117
2021-12,2,119
2022-01,2,121
2022-02,2,123
2022-03,4,127
2022-04,4,131
2022-05,2,133
2022-06,2,135
2022-07,1,136
2022-08,1,137
2022-10,1,138
2022-11,1,139
2023-01,1,140
2023-02,2,142
2023-03,3,145
2023-04,1,146
2023-05,1,147
2023-07,2,149
2023-08,1,150
2023-10,3,153
2023-11,1,154
2024-01,1,155
2024-03,3,158
2024-05,1,159
2024-06,1,160
2024-08,2,162
2024-09,3,165
