Date,Monthly Value,Accumulated Value
2015-01,112,112
2015-04,14,126
2015-09,2,128
2015-10,8,136
2015-12,22,158
2016-01,3334,3492
2016-02,1020,4512
2016-03,57,4569
2016-04,8,4577
2016-05,24,4601
2016-06,22,4623
2016-07,10,4633
2016-08,40,4673
2016-10,2,4675
2016-11,2,4677
2016-12,762,5439
2017-03,1,5440
2017-05,40,5480
2017-06,2,5482
2017-07,8,5490
2017-08,9,5499
2017-09,692,6191
2017-10,898,7089
2017-11,412,7501
2017-12,8461,15962
2018-01,17825,33787
2018-02,766,34553
2018-03,71,34624
2018-04,10,34634
2018-07,32,34666
2018-08,40,34706
2018-09,9,34715
2018-10,258,34973
2018-12,6,34979
2019-01,4,34983
2019-03,318,35301
2019-04,91,35392
2019-07,4,35396
2019-08,100,35496
2019-09,1,35497
2019-10,23,35520
2019-11,18,35538
2020-01,1,35539
2020-02,20,35559
2020-03,4,35563
2020-05,4,35567
2020-09,248,35815
2021-05,90,35905
2021-06,12,35917
2021-12,4,35921
2024-04,7,35928
