Date,Monthly Value,Accumulated Value
2018-01,139,139
2018-02,102,241
2018-03,212,453
2018-04,88,541
2018-05,83,624
2018-06,124,748
2018-07,103,851
2018-08,148,999
2018-09,115,1114
2018-10,127,1241
2018-11,83,1324
2018-12,94,1418
2019-01,69,1487
2019-02,226,1713
2019-03,213,1926
2019-04,74,2000
2019-05,228,2228
2019-06,122,2350
2019-07,55,2405
2019-08,55,2460
2019-09,182,2642
2019-10,172,2814
2019-11,83,2897
2019-12,76,2973
2020-01,122,3095
2020-02,134,3229
2020-03,104,3333
2020-04,93,3426
2020-05,93,3519
2020-06,67,3586
2020-07,48,3634
2020-08,53,3687
2020-09,128,3815
2020-10,244,4059
2020-11,158,4217
2020-12,64,4281
2021-01,133,4414
2021-02,183,4597
2021-03,124,4721
2021-04,97,4818
2021-05,133,4951
2021-06,119,5070
2021-07,103,5173
2021-08,110,5283
2021-09,59,5342
2021-10,93,5435
2021-11,134,5569
2021-12,61,5630
2022-01,89,5719
2022-02,71,5790
2022-03,102,5892
2022-04,106,5998
2022-05,131,6129
2022-06,94,6223
2022-07,100,6323
2022-08,93,6416
2022-09,149,6565
2022-10,183,6748
2022-11,111,6859
2022-12,79,6938
2023-01,69,7007
2023-02,65,7072
2023-03,98,7170
2023-04,103,7273
2023-05,83,7356
2023-06,121,7477
2023-07,77,7554
2023-08,147,7701
2023-09,149,7850
2023-10,215,8065
2023-11,108,8173
2023-12,61,8234
2024-01,137,8371
2024-02,127,8498
2024-03,82,8580
2024-04,115,8695
2024-05,168,8863
2024-06,134,8997
2024-07,129,9126
2024-08,105,9231
2024-09,106,9337
2024-10,155,9492
