Date,Monthly Value,Accumulated Value
2017-12,1,1
2018-01,22,23
2018-02,21,44
2018-03,25,69
2018-04,22,91
2018-05,23,114
2018-06,21,135
2018-07,19,154
2018-08,23,177
2018-09,21,198
2018-10,23,221
2018-11,25,246
2018-12,20,266
2019-01,17,283
2019-02,26,309
2019-03,20,329
2019-04,19,348
2019-05,21,369
2019-06,22,391
2019-07,23,414
2019-08,18,432
2019-09,25,457
2019-10,40,497
2019-11,22,519
2019-12,17,536
2020-01,28,564
2020-02,28,592
2020-03,25,617
2020-04,24,641
2020-05,18,659
2020-06,25,684
2020-07,21,705
2020-08,14,719
2020-09,30,749
2020-10,32,781
2020-11,27,808
2020-12,22,830
2021-01,27,857
2021-02,28,885
2021-03,24,909
2021-04,27,936
2021-05,20,956
2021-06,29,985
2021-07,21,1006
2021-08,26,1032
2021-09,21,1053
2021-10,24,1077
2021-11,26,1103
2021-12,23,1126
2022-01,24,1150
2022-02,25,1175
2022-03,26,1201
2022-04,30,1231
2022-05,23,1254
2022-06,29,1283
2022-07,24,1307
2022-08,21,1328
2022-09,23,1351
2022-10,32,1383
2022-11,24,1407
2022-12,15,1422
2023-01,17,1439
2023-02,22,1461
2023-03,19,1480
2023-04,19,1499
2023-05,22,1521
2023-06,23,1544
2023-07,18,1562
2023-08,24,1586
2023-09,24,1610
2023-10,33,1643
2023-11,21,1664
2023-12,21,1685
2024-01,19,1704
2024-02,27,1731
2024-03,23,1754
2024-04,22,1776
2024-05,27,1803
2024-06,23,1826
2024-07,22,1848
2024-08,23,1871
2024-09,22,1893
2024-10,21,1914
