Date,Monthly Value,Accumulated Value
2015-12,1,1
2016-04,1,2
2016-07,1,3
2016-09,1,4
2016-12,1,5
2017-03,3,8
2017-04,1,9
2018-03,2,11
2018-05,2,13
2018-06,1,14
2018-07,1,15
2018-08,1,16
2018-09,2,18
2019-09,3,21
2019-10,1,22
2019-11,2,24
2019-12,2,26
2020-01,1,27
2020-02,1,28
2020-05,1,29
2020-07,1,30
2020-08,1,31
2020-09,1,32
2020-10,1,33
2020-12,2,35
2021-04,1,36
2021-09,1,37
2021-11,1,38
2021-12,1,39
2022-01,1,40
2022-04,1,41
2022-05,1,42
2022-06,1,43
2022-07,2,45
2022-08,3,48
2022-09,3,51
2022-10,1,52
2022-11,2,54
2022-12,2,56
2023-01,1,57
2023-04,1,58
2023-05,1,59
2023-06,1,60
2023-07,2,62
2023-10,1,63
2023-11,4,67
2023-12,1,68
2024-01,5,73
2024-04,2,75
2024-06,1,76
2024-08,2,78
2024-09,3,81
