Date,Monthly Value,Accumulated Value
2015-01,101,101
2015-02,72,173
2015-03,158,331
2015-04,133,464
2015-05,116,580
2015-06,239,819
2015-07,166,985
2015-08,138,1123
2015-09,174,1297
2015-10,120,1417
2015-11,145,1562
2015-12,157,1719
2016-01,144,1863
2016-02,183,2046
2016-03,206,2252
2016-04,214,2466
2016-05,218,2684
2016-06,209,2893
2016-07,194,3087
2016-08,214,3301
2016-09,176,3477
2016-10,152,3629
2016-11,197,3826
2016-12,212,4038
2017-01,204,4242
2017-02,154,4396
2017-03,180,4576
2017-04,157,4733
2017-05,156,4889
2017-06,148,5037
2017-07,151,5188
2017-08,160,5348
2017-09,107,5455
2017-10,144,5599
2017-11,153,5752
2017-12,139,5891
2018-01,117,6008
2018-02,94,6102
2018-03,124,6226
2018-04,102,6328
2018-05,89,6417
2018-06,85,6502
2018-07,76,6578
2018-08,87,6665
2018-09,90,6755
2018-10,86,6841
2018-11,95,6936
2018-12,72,7008
2019-01,83,7091
2019-02,97,7188
2019-03,106,7294
2019-04,104,7398
2019-05,96,7494
2019-06,65,7559
2019-07,61,7620
2019-08,66,7686
2019-09,46,7732
2019-10,54,7786
2019-11,57,7843
2019-12,46,7889
2020-01,37,7926
2020-02,52,7978
2020-03,55,8033
2020-04,47,8080
2020-05,52,8132
2020-06,39,8171
2020-07,37,8208
2020-08,34,8242
2020-09,46,8288
2020-10,49,8337
2020-11,41,8378
2020-12,46,8424
2021-01,36,8460
2021-02,37,8497
2021-03,38,8535
2021-04,32,8567
2021-05,22,8589
2021-06,42,8631
2021-07,31,8662
2021-08,39,8701
2021-09,42,8743
2021-10,34,8777
2021-11,28,8805
2021-12,24,8829
2022-01,39,8868
2022-02,35,8903
2022-03,21,8924
2022-04,24,8948
2022-05,19,8967
2022-06,21,8988
2022-07,25,9013
2022-08,21,9034
2022-09,34,9068
2022-10,30,9098
2022-11,23,9121
2022-12,30,9151
2023-01,18,9169
2023-02,25,9194
2023-03,12,9206
2023-04,23,9229
2023-05,15,9244
2023-06,23,9267
2023-07,26,9293
2023-08,18,9311
2023-09,34,9345
2023-10,16,9361
2023-11,12,9373
2023-12,13,9386
2024-01,20,9406
2024-02,26,9432
2024-03,16,9448
2024-04,13,9461
2024-05,22,9483
2024-06,19,9502
2024-07,7,9509
2024-08,11,9520
2024-09,8,9528
2024-10,15,9543
