Date,Monthly Value,Accumulated Value
2015-01,3,3
2015-02,8,11
2015-03,7,18
2015-04,3,21
2015-05,2,23
2015-06,9,32
2015-07,4,36
2015-08,3,39
2015-09,5,44
2015-10,8,52
2015-11,7,59
2015-12,12,71
2016-01,4,75
2016-02,4,79
2016-03,12,91
2016-04,4,95
2016-05,10,105
2016-06,12,117
2016-07,9,126
2016-08,6,132
2016-09,6,138
2016-10,10,148
2016-11,4,152
2016-12,9,161
2017-01,4,165
2017-02,4,169
2017-03,7,176
2017-04,7,183
2017-05,5,188
2017-06,10,198
2017-07,10,208
2017-08,14,222
2017-09,10,232
2017-10,6,238
2017-11,12,250
2017-12,9,259
2018-01,12,271
2018-02,13,284
2018-03,9,293
2018-04,7,300
2018-05,11,311
2018-06,7,318
2018-07,6,324
2018-08,5,329
2018-09,4,333
2018-10,13,346
2018-11,12,358
2018-12,9,367
2019-01,7,374
2019-02,6,380
2019-03,11,391
2019-04,13,404
2019-05,8,412
2019-06,13,425
2019-07,11,436
2019-08,5,441
2019-09,10,451
2019-10,18,469
2019-11,9,478
2019-12,16,494
2020-01,17,511
2020-02,11,522
2020-03,13,535
2020-04,7,542
2020-05,11,553
2020-06,8,561
2020-07,11,572
2020-08,3,575
2020-09,11,586
2020-10,6,592
2020-11,10,602
2020-12,4,606
2021-01,12,618
2021-02,11,629
2021-03,5,634
2021-04,9,643
2021-05,6,649
2021-06,4,653
2021-07,6,659
2021-08,7,666
2021-09,14,680
2021-10,11,691
2021-11,9,700
2021-12,11,711
2022-01,11,722
2022-02,13,735
2022-03,16,751
2022-04,10,761
2022-05,5,766
2022-06,7,773
2022-07,6,779
2022-08,7,786
2022-09,4,790
2022-10,6,796
2022-11,14,810
2022-12,9,819
2023-01,6,825
2023-02,10,835
2023-03,6,841
2023-04,3,844
2023-05,3,847
2023-06,11,858
2023-07,4,862
2023-08,5,867
2023-09,4,871
2023-10,4,875
2023-11,8,883
2023-12,3,886
2024-01,2,888
2024-02,13,901
2024-03,17,918
2024-04,14,932
2024-05,6,938
2024-06,6,944
2024-07,6,950
2024-08,6,956
2024-09,8,964
2024-10,7,971
