Date,Monthly Value,Accumulated Value
2015-01,69,69
2015-02,91,160
2015-03,116,276
2015-04,135,411
2015-05,152,563
2015-06,100,663
2015-07,53,716
2015-08,66,782
2015-09,49,831
2015-10,47,878
2015-11,54,932
2015-12,53,985
2016-01,49,1034
2016-02,184,1218
2016-03,111,1329
2016-04,90,1419
2016-05,48,1467
2016-06,52,1519
2016-07,45,1564
2016-08,100,1664
2016-09,80,1744
2016-10,39,1783
2016-11,56,1839
2016-12,55,1894
2017-01,54,1948
2017-02,62,2010
2017-03,107,2117
2017-04,68,2185
2017-05,71,2256
2017-06,107,2363
2017-07,84,2447
2017-08,55,2502
2017-09,57,2559
2017-10,75,2634
2017-11,51,2685
2017-12,45,2730
2018-01,47,2777
2018-02,29,2806
2018-03,40,2846
2018-04,38,2884
2018-05,32,2916
2018-06,21,2937
2018-07,30,2967
2018-08,28,2995
2018-09,31,3026
2018-10,80,3106
2018-11,59,3165
2018-12,31,3196
2019-01,64,3260
2019-02,45,3305
2019-03,67,3372
2019-04,72,3444
2019-05,103,3547
2019-06,48,3595
2019-07,74,3669
2019-08,77,3746
2019-09,60,3806
2019-10,82,3888
2019-11,55,3943
2019-12,66,4009
2020-01,63,4072
2020-02,55,4127
2020-03,42,4169
2020-04,67,4236
2020-05,58,4294
2020-06,28,4322
2020-07,24,4346
2020-08,25,4371
2020-09,16,4387
2020-10,41,4428
2020-11,33,4461
2020-12,47,4508
2021-01,42,4550
2021-02,49,4599
2021-03,56,4655
2021-04,36,4691
2021-05,34,4725
2021-06,22,4747
2021-07,18,4765
2021-08,15,4780
2021-09,12,4792
2021-10,20,4812
2021-11,21,4833
2021-12,41,4874
2022-01,47,4921
2022-02,25,4946
2022-03,31,4977
2022-04,22,4999
2022-05,33,5032
2022-06,35,5067
2022-07,18,5085
2022-08,11,5096
2022-09,28,5124
2022-10,47,5171
2022-11,29,5200
2022-12,19,5219
2023-01,42,5261
2023-02,31,5292
2023-03,37,5329
2023-04,34,5363
2023-05,38,5401
2023-06,22,5423
2023-07,12,5435
2023-08,35,5470
2023-09,35,5505
2023-10,148,5653
2023-11,62,5715
2023-12,20,5735
2024-01,49,5784
2024-02,91,5875
2024-03,45,5920
2024-04,44,5964
2024-05,61,6025
2024-06,103,6128
2024-07,26,6154
2024-08,8,6162
2024-09,37,6199
2024-10,41,6240
