Date,Monthly Value,Accumulated Value
2015-01,6,6
2015-02,5,11
2015-03,11,22
2015-04,11,33
2015-05,7,40
2015-06,8,48
2015-07,28,76
2015-08,11,87
2015-09,13,100
2015-10,8,108
2015-11,13,121
2015-12,13,134
2016-01,11,145
2016-02,12,157
2016-03,11,168
2016-04,15,183
2016-05,16,199
2016-06,18,217
2016-07,25,242
2016-08,17,259
2016-09,10,269
2016-10,14,283
2016-11,20,303
2016-12,10,313
2017-01,8,321
2017-02,27,348
2017-03,17,365
2017-04,14,379
2017-05,15,394
2017-06,13,407
2017-07,19,426
2017-08,16,442
2017-09,17,459
2017-10,17,476
2017-11,8,484
2017-12,9,493
2018-01,4,497
2018-02,4,501
2018-03,5,506
2018-04,4,510
2018-05,5,515
2018-06,4,519
2018-07,3,522
2018-08,6,528
2018-09,3,531
2018-10,9,540
2018-11,4,544
2018-12,6,550
2019-01,6,556
2019-02,9,565
2019-03,11,576
2019-04,7,583
2019-05,7,590
2019-06,2,592
2019-07,7,599
2019-08,3,602
2019-09,9,611
2019-10,6,617
2019-11,2,619
2019-12,4,623
2020-01,4,627
2020-02,1,628
2020-03,1,629
2020-04,4,633
2020-05,3,636
2020-06,5,641
2020-07,1,642
2020-08,1,643
2020-09,3,646
2020-10,4,650
2020-11,7,657
2020-12,2,659
2021-01,4,663
2021-02,7,670
2021-03,6,676
2021-04,5,681
2021-05,3,684
2021-06,2,686
2021-07,4,690
2021-08,6,696
2021-09,4,700
2021-10,4,704
2021-11,2,706
2021-12,4,710
2022-01,2,712
2022-02,5,717
2022-03,5,722
2022-04,1,723
2022-05,2,725
2022-06,9,734
2022-07,1,735
2022-08,2,737
2022-09,6,743
2022-10,1,744
2022-11,4,748
2022-12,2,750
2023-01,5,755
2023-02,3,758
2023-03,2,760
2023-04,12,772
2023-05,10,782
2023-06,10,792
2023-07,16,808
2023-08,10,818
2023-09,8,826
2023-10,6,832
2023-11,8,840
2023-12,12,852
2024-01,2,854
2024-02,5,859
