Date,Monthly Value,Accumulated Value
2016-07,193,193
2016-09,22,215
2016-11,2,217
2016-12,24,241
2017-01,145,386
2017-05,107,493
2017-06,170,663
2017-11,2,665
2018-02,2,667
2018-03,34,701
2018-09,270,971
2018-10,90,1061
2018-12,48,1109
2019-01,2,1111
2019-03,372,1483
2019-05,27,1510
2019-06,29,1539
2019-08,61,1600
2019-10,16,1616
2020-06,44,1660
2020-07,1162,2822
2020-11,12,2834
2021-09,4,2838
2021-12,20,2858
2022-01,6,2864
2022-04,28,2892
2022-05,7,2899
2022-06,70,2969
2022-07,6,2975
2022-08,8,2983
2022-09,15,2998
2022-10,1,2999
2022-11,2478,5477
2022-12,96,5573
2023-01,27,5600
2023-02,7,5607
2023-03,25,5632
2023-04,159,5791
2023-05,25,5816
2023-06,30,5846
2023-07,4,5850
2023-08,3,5853
2023-09,39,5892
2023-10,27,5919
2023-11,54,5973
2023-12,28,6001
2024-01,33,6034
2024-02,16,6050
2024-03,21,6071
2024-04,22,6093
2024-05,17,6110
2024-06,33,6143
2024-07,22,6165
2024-08,40,6205
2024-09,48,6253
2024-10,32,6285
