Date,Monthly Value,Accumulated Value
2015-01,40,40
2015-02,44,84
2015-03,24,108
2015-04,29,137
2015-05,28,165
2015-06,69,234
2015-07,33,267
2015-08,33,300
2015-09,58,358
2015-10,48,406
2015-11,46,452
2015-12,74,526
2016-01,50,576
2016-02,38,614
2016-03,45,659
2016-04,24,683
2016-05,42,725
2016-06,42,767
2016-07,37,804
2016-08,59,863
2016-09,38,901
2016-10,34,935
2016-11,42,977
2016-12,29,1006
2017-01,38,1044
2017-02,44,1088
2017-03,36,1124
2017-04,28,1152
2017-05,30,1182
2017-06,20,1202
2017-07,21,1223
2017-08,30,1253
2017-09,18,1271
2017-10,30,1301
2017-11,13,1314
2017-12,27,1341
2018-01,23,1364
2018-02,13,1377
2018-03,17,1394
2018-04,10,1404
2018-05,8,1412
2018-06,15,1427
2018-07,9,1436
2018-08,13,1449
2018-09,21,1470
2018-10,17,1487
2018-11,16,1503
2018-12,6,1509
2019-01,6,1515
2019-02,11,1526
2019-03,12,1538
2019-04,21,1559
2019-05,8,1567
2019-06,8,1575
2019-07,8,1583
2019-08,11,1594
2019-09,7,1601
2019-10,2,1603
2019-11,4,1607
2019-12,4,1611
2020-01,8,1619
2020-02,8,1627
2020-03,3,1630
2020-04,13,1643
2020-05,8,1651
2020-06,4,1655
2020-07,3,1658
2020-08,9,1667
2020-09,8,1675
2020-10,11,1686
2020-11,3,1689
2020-12,2,1691
2021-01,6,1697
2021-02,12,1709
2021-03,4,1713
2021-04,4,1717
2021-05,4,1721
2021-06,4,1725
2021-07,5,1730
2021-08,4,1734
2021-09,3,1737
2021-10,3,1740
2021-11,4,1744
2021-12,2,1746
2022-01,3,1749
2022-02,1,1750
2022-03,6,1756
2022-04,1,1757
2022-05,3,1760
2022-06,5,1765
2022-07,2,1767
2022-08,4,1771
2022-09,1,1772
2022-10,3,1775
2022-11,4,1779
2023-01,4,1783
2023-02,3,1786
2023-03,1,1787
2023-04,4,1791
2023-05,3,1794
2023-06,1,1795
2023-07,7,1802
2023-08,1,1803
2023-09,1,1804
2023-10,4,1808
2023-11,2,1810
2023-12,1,1811
2024-01,4,1815
2024-02,2,1817
2024-03,5,1822
2024-04,1,1823
2024-05,1,1824
2024-06,1,1825
2024-07,1,1826
2024-08,4,1830
2024-09,1,1831
2024-10,6,1837
