Date,Monthly Value,Accumulated Value
2017-03,4,4
2017-04,16,20
2017-05,19,39
2017-06,32,71
2017-07,20,91
2017-08,15,106
2017-09,20,126
2017-10,24,150
2017-11,20,170
2017-12,6,176
2018-01,13,189
2018-02,1,190
2018-03,8,198
2018-04,9,207
2018-05,11,218
2018-06,6,224
2018-07,51,275
2018-08,46,321
2018-09,6,327
2018-10,23,350
2018-11,27,377
2018-12,55,432
2019-01,33,465
2019-02,38,503
2019-03,40,543
2019-04,47,590
2019-05,49,639
2019-06,38,677
2019-07,45,722
2019-08,43,765
2019-09,34,799
2019-10,37,836
2019-11,25,861
2019-12,35,896
2020-01,28,924
2020-02,32,956
2020-03,32,988
2020-04,5,993
2020-05,16,1009
2020-06,15,1024
2020-07,31,1055
2020-08,12,1067
2020-09,11,1078
2020-10,9,1087
2020-11,9,1096
2020-12,6,1102
2021-01,1,1103
2021-02,1,1104
2021-03,5,1109
2021-04,4,1113
2021-05,5,1118
2021-06,5,1123
2021-08,2,1125
2021-10,1,1126
2021-11,1,1127
2021-12,1,1128
2022-01,2,1130
2022-05,4,1134
2022-07,3,1137
2022-09,1,1138
2022-10,2,1140
2022-11,1,1141
2023-01,9,1150
2023-02,4,1154
2023-04,4,1158
2023-05,6,1164
2023-08,5,1169
2023-12,1,1170
2024-01,4,1174
2024-02,3,1177
2024-03,19,1196
2024-04,13,1209
2024-05,8,1217
2024-06,3,1220
2024-08,1,1221
2024-10,4,1225
