Date,Monthly Value,Accumulated Value
2016-09,0.48,0.48
2016-10,1.45,1.93
2016-11,1.68,3.61
2016-12,2.17,5.779999999999999
2017-01,1.9,7.68
2017-02,2.17,9.85
2017-03,3.62,13.469999999999999
2017-04,3.48,16.95
2017-05,4.48,21.43
2017-06,5.96,27.39
2017-07,5.11,32.5
2017-08,5.29,37.79
2017-09,4.75,42.54
2017-10,5.04,47.58
2017-11,6.98,54.56
2017-12,4.79,59.35
2018-01,5.95,65.3
2018-02,2.32,67.61999999999999
2018-03,3.9,71.52
2018-04,5.37,76.89
2018-05,6.89,83.78
2018-06,9.48,93.26
2018-07,5.8,99.06
2018-08,4.48,103.54
2018-09,3.81,107.35000000000001
2018-10,5.9,113.25000000000001
2018-11,4.41,117.66000000000001
2018-12,4.98,122.64000000000001
2019-01,5.26,127.90000000000002
2019-02,5.53,133.43
2019-03,6.48,139.91
2019-04,6.26,146.17
2019-05,7.41,153.57999999999998
2019-06,6.35,159.92999999999998
2019-07,8.76,168.68999999999997
2019-08,9.61,178.29999999999995
2019-09,7.81,186.10999999999996
2019-10,8.36,194.46999999999997
2019-11,8.22,202.68999999999997
2019-12,9.53,212.21999999999997
2020-01,7.13,219.34999999999997
2020-02,6.69,226.03999999999996
2020-03,8.01,234.04999999999995
2020-04,5.37,239.41999999999996
2020-05,6.6,246.01999999999995
2020-06,6.53,252.54999999999995
2020-07,6.36,258.90999999999997
2020-08,6.24,265.15
2020-09,6.4,271.54999999999995
2020-10,5.59,277.13999999999993
2020-11,7.17,284.30999999999995
2020-12,5.34,289.6499999999999
2021-01,5.09,294.7399999999999
2021-02,3.4,298.1399999999999
2021-03,2.29,300.4299999999999
2021-04,3.87,304.2999999999999
2021-05,4.44,308.7399999999999
2021-06,5.26,313.9999999999999
2021-07,4.56,318.5599999999999
2021-08,6.06,324.6199999999999
2021-09,5.28,329.89999999999986
2021-10,6,335.89999999999986
2021-11,5.84,341.73999999999984
2021-12,4.91,346.64999999999986
2022-01,2.92,349.5699999999999
2022-02,4.42,353.9899999999999
2022-03,4.88,358.8699999999999
2022-04,5.04,363.9099999999999
2022-05,5.58,369.4899999999999
2022-06,6.68,376.1699999999999
2022-07,4.63,380.7999999999999
2022-08,2.27,383.0699999999999
2022-09,3.73,386.7999999999999
2022-10,4.11,390.9099999999999
2022-11,3.52,394.4299999999999
2022-12,3.63,398.0599999999999
2023-01,3.84,401.89999999999986
2023-02,3.9,405.79999999999984
2023-03,3.84,409.6399999999998
2023-04,3.22,412.85999999999984
2023-05,2.4,415.2599999999998
2023-06,3.13,418.3899999999998
2023-07,3.81,422.1999999999998
2023-08,5.41,427.60999999999984
2023-09,7.71,435.3199999999998
2023-10,7.24,442.55999999999983
2023-11,6.92,449.47999999999985
2023-12,6.04,455.51999999999987
2024-01,4.64,460.15999999999985
2024-02,6.96,467.11999999999983
2024-03,7.66,474.77999999999986
2024-04,7.08,481.85999999999984
2024-05,7.45,489.30999999999983
2024-06,8.38,497.6899999999998
2024-07,5.07,502.7599999999998
2024-08,5.88,508.6399999999998
2024-09,4.46,513.0999999999998
2024-10,6.3,519.3999999999997
