Date,Monthly Value,Accumulated Value
2015-01,20,20
2015-02,8,28
2015-03,29,57
2015-04,24,81
2015-05,55,136
2015-06,16,152
2015-07,35,187
2015-08,15,202
2015-09,8,210
2015-10,56,266
2015-11,16,282
2015-12,10,292
2016-01,13,305
2016-02,34,339
2016-03,24,363
2016-04,34,397
2016-05,9,406
2016-06,40,446
2016-07,21,467
2016-08,15,482
2016-09,17,499
2016-10,9,508
2016-11,41,549
2016-12,20,569
2017-01,26,595
2017-02,19,614
2017-03,22,636
2017-04,41,677
2017-05,17,694
2017-06,28,722
2017-07,9,731
2017-08,43,774
2017-09,14,788
2017-10,23,811
2017-11,295,1106
2017-12,24,1130
2018-01,23,1153
2018-02,4,1157
2018-03,19,1176
2018-04,45,1221
2018-05,39,1260
2018-06,58,1318
2018-07,52,1370
2018-08,62,1432
2018-09,22,1454
2018-10,28,1482
2018-11,29,1511
2018-12,22,1533
2019-01,33,1566
2019-02,54,1620
2019-03,48,1668
2019-04,54,1722
2019-05,46,1768
2019-06,44,1812
2019-07,41,1853
2019-08,29,1882
2019-09,172,2054
2019-10,51,2105
2019-11,33,2138
2019-12,21,2159
2020-01,23,2182
2020-02,43,2225
2020-03,20,2245
2020-04,603,2848
2020-05,37,2885
2020-06,44,2929
2020-07,46,2975
2020-08,31,3006
2020-09,50,3056
2020-10,62,3118
2020-11,18,3136
2020-12,28,3164
2021-01,38,3202
2021-02,28,3230
2021-03,40,3270
2021-04,34,3304
2021-05,30,3334
2021-06,29,3363
2021-07,42,3405
2021-08,30,3435
2021-09,22,3457
2021-10,27,3484
2021-11,30,3514
2021-12,31,3545
2022-01,27,3572
2022-02,14,3586
2022-03,43,3629
2022-04,30,3659
2022-05,12,3671
2022-06,35,3706
2022-07,3,3709
2022-08,31,3740
2022-09,16,3756
2022-10,21,3777
2022-11,8,3785
2022-12,2,3787
2023-01,12,3799
2023-02,6,3805
2023-03,1,3806
2023-04,7,3813
2023-05,6,3819
2023-06,3,3822
2023-07,2,3824
2023-08,11,3835
2023-09,34,3869
2023-10,5,3874
2023-11,6,3880
2023-12,3,3883
2024-01,6,3889
2024-02,10,3899
2024-03,2,3901
2024-04,5,3906
2024-05,4,3910
2024-06,3,3913
2024-07,2,3915
2024-08,5,3920
2024-09,4,3924
2024-10,2,3926
