Date,Monthly Value,Accumulated Value
2015-01,32,32
2015-02,31,63
2015-03,32,95
2015-04,43,138
2015-05,40,178
2015-06,38,216
2015-07,51,267
2015-08,48,315
2015-09,47,362
2015-10,75,437
2015-11,34,471
2015-12,42,513
2016-01,45,558
2016-02,44,602
2016-03,62,664
2016-04,56,720
2016-05,66,786
2016-06,48,834
2016-07,36,870
2016-08,62,932
2016-09,60,992
2016-10,35,1027
2016-11,64,1091
2016-12,37,1128
2017-01,44,1172
2017-02,48,1220
2017-03,71,1291
2017-04,64,1355
2017-05,34,1389
2017-06,54,1443
2017-07,48,1491
2017-08,53,1544
2017-09,41,1585
2017-10,37,1622
2017-11,49,1671
2017-12,38,1709
2018-01,55,1764
2018-02,47,1811
2018-03,68,1879
2018-04,50,1929
2018-05,47,1976
2018-06,57,2033
2018-07,58,2091
2018-08,56,2147
2018-09,60,2207
2018-10,38,2245
2018-11,41,2286
2018-12,42,2328
2019-01,48,2376
2019-02,54,2430
2019-03,69,2499
2019-04,68,2567
2019-05,67,2634
2019-06,55,2689
2019-07,84,2773
2019-08,62,2835
2019-09,58,2893
2019-10,82,2975
2019-11,44,3019
2019-12,58,3077
2020-01,53,3130
2020-02,59,3189
2020-03,62,3251
2020-04,55,3306
2020-05,71,3377
2020-06,64,3441
2020-07,53,3494
2020-08,55,3549
2020-09,41,3590
2020-10,41,3631
2020-11,32,3663
2020-12,37,3700
2021-01,36,3736
2021-02,37,3773
2021-03,42,3815
2021-04,36,3851
2021-05,36,3887
2021-06,41,3928
2021-07,32,3960
2021-08,33,3993
2021-09,22,4015
2021-10,29,4044
2021-11,31,4075
2021-12,36,4111
2022-01,44,4155
2022-02,27,4182
2022-03,31,4213
2022-04,37,4250
2022-05,31,4281
2022-06,29,4310
2022-07,32,4342
2022-08,33,4375
2022-09,39,4414
2022-10,32,4446
2022-11,40,4486
2022-12,40,4526
2023-01,32,4558
2023-02,28,4586
2023-03,45,4631
2023-04,37,4668
2023-05,38,4706
2023-06,48,4754
2023-07,39,4793
2023-08,28,4821
2023-09,36,4857
2023-10,21,4878
2023-11,27,4905
2023-12,21,4926
2024-01,43,4969
2024-02,61,5030
2024-03,37,5067
2024-04,42,5109
2024-05,42,5151
2024-06,46,5197
2024-07,31,5228
2024-08,44,5272
2024-09,32,5304
2024-10,36,5340
