Date,Monthly Value,Accumulated Value
2015-01,107.6,107.6
2015-02,134.65,242.25
2015-03,98.6,340.85
2015-04,114.79,455.64000000000004
2015-05,104,559.6400000000001
2015-06,123.1,682.7400000000001
2015-07,117.9,800.6400000000001
2015-08,95.75,896.3900000000001
2015-09,105.46,1001.8500000000001
2015-10,120.35,1122.2
2015-11,93.38,1215.58
2015-12,72.68,1288.26
2016-01,117.94,1406.2
2016-02,121.07,1527.27
2016-03,140.26,1667.53
2016-04,182.14,1849.67
2016-05,176.79,2026.46
2016-06,121.45,2147.91
2016-07,120.25,2268.16
2016-08,152.52,2420.68
2016-09,111.1,2531.7799999999997
2016-10,112.66,2644.4399999999996
2016-11,150.07,2794.5099999999998
2016-12,128.61,2923.12
2017-01,113.34,3036.46
2017-02,172.75,3209.21
2017-03,155,3364.21
2017-04,108.21,3472.42
2017-05,106.26,3578.6800000000003
2017-06,102.4,3681.0800000000004
2017-07,106.1,3787.1800000000003
2017-08,90.8,3877.9800000000005
2017-09,129,4006.9800000000005
2017-10,104.81,4111.790000000001
2017-11,98.86,4210.650000000001
2017-12,87.24,4297.89
2018-01,113.02,4410.910000000001
2018-02,158.87,4569.780000000001
2018-03,197.42,4767.200000000001
2018-04,168,4935.200000000001
2018-05,196.86,5132.06
2018-06,257.5,5389.56
2018-07,194.73,5584.29
2018-08,251.18,5835.47
2018-09,169.75,6005.22
2018-10,187.94,6193.16
2018-11,187.8,6380.96
2018-12,193.79,6574.75
2019-01,173.26,6748.01
2019-02,182.89,6930.900000000001
2019-03,187.7,7118.6
2019-04,114.73,7233.33
2019-05,162.04,7395.37
2019-06,149.33,7544.7
2019-07,154.58,7699.28
2019-08,147.43,7846.71
2019-09,122.12,7968.83
2019-10,101.58,8070.41
2019-11,102.55,8172.96
2019-12,100.97,8273.93
2020-01,119.12,8393.050000000001
2020-02,139.55,8532.6
2020-03,124.17,8656.77
2020-04,140.36,8797.130000000001
2020-05,123.79,8920.920000000002
2020-06,117.8,9038.720000000001
2020-07,103.22,9141.94
2020-08,83.17,9225.11
2020-09,89.15,9314.26
2020-10,134.28,9448.54
2020-11,91.74,9540.28
2020-12,105.56,9645.84
2021-01,104.15,9749.99
2021-02,84.24,9834.23
2021-03,75.29,9909.52
2021-04,78.16,9987.68
2021-05,96.75,10084.43
2021-06,66.43,10150.86
2021-07,63.49,10214.35
2021-08,66.98,10281.33
2021-09,62.79,10344.12
2021-10,56,10400.12
2021-11,41.51,10441.630000000001
2021-12,64.24,10505.87
2022-01,47.89,10553.76
2022-02,53.58,10607.34
2022-03,48.48,10655.82
2022-04,71.13,10726.949999999999
2022-05,38.82,10765.769999999999
2022-06,34.55,10800.319999999998
2022-07,59.05,10859.369999999997
2022-08,39.79,10899.159999999998
2022-09,58.37,10957.529999999999
2022-10,56.87,11014.4
2022-11,50.67,11065.07
2022-12,37.86,11102.93
2023-01,56.19,11159.12
2023-02,58.54,11217.660000000002
2023-03,45.18,11262.840000000002
2023-04,35.66,11298.500000000002
2023-05,35.09,11333.590000000002
2023-06,52.35,11385.940000000002
2023-07,50.28,11436.220000000003
2023-08,57.53,11493.750000000004
2023-09,57.55,11551.300000000003
2023-10,32.27,11583.570000000003
2023-11,44.77,11628.340000000004
2023-12,53.54,11681.880000000005
2024-01,63.08,11744.960000000005
2024-02,44.09,11789.050000000005
2024-03,37.07,11826.120000000004
2024-04,41.99,11868.110000000004
2024-05,21.71,11889.820000000003
2024-06,27.48,11917.300000000003
2024-07,46.55,11963.850000000002
2024-08,44.66,12008.510000000002
2024-09,36.83,12045.340000000002
2024-10,49.71,12095.050000000001
