Date,Monthly Value,Accumulated Value
2015-01,78,78
2015-02,1588,1666
2015-05,460,2126
2015-07,172,2298
2015-08,44,2342
2015-10,152,2494
2015-11,90,2584
2015-12,7,2591
2016-04,93,2684
2016-05,130,2814
2016-07,68,2882
2016-08,27,2909
2016-09,47,2956
2017-04,52,3008
2017-07,85,3093
2017-12,10,3103
2018-01,2119,5222
2018-02,392,5614
2018-04,1,5615
2018-05,2328,7943
2018-06,436,8379
2018-07,1938,10317
2018-08,1008,11325
2018-09,96,11421
2018-10,133,11554
2018-11,242,11796
2018-12,148,11944
2019-01,675,12619
2019-02,666,13285
2019-03,9523,22808
2019-04,7265,30073
2019-05,1190,31263
2019-06,2309,33572
2019-07,366,33938
2019-10,26,33964
2019-11,48,34012
2019-12,1146,35158
2020-01,1058,36216
2020-02,291,36507
2020-03,561,37068
2020-04,128,37196
2020-05,114,37310
2020-06,3,37313
2020-07,37,37350
2020-08,66,37416
2020-09,234,37650
2020-10,498,38148
2020-11,307,38455
2020-12,1473,39928
2021-01,4659,44587
2021-02,42,44629
2021-03,35987,80616
2021-04,850,81466
2021-05,98,81564
2021-06,1612,83176
2021-07,34,83210
2021-08,2654,85864
2021-09,1137,87001
2021-10,25,87026
2021-11,8839,95865
2021-12,730,96595
2022-01,1051,97646
2022-02,8014,105660
2022-03,2176,107836
2022-04,101,107937
2022-05,9009,116946
2022-06,763,117709
2022-07,304,118013
2022-08,1963,119976
2022-09,2122,122098
2022-10,123,122221
2022-11,16,122237
2022-12,694,122931
2023-01,97,123028
2023-02,60,123088
2023-03,181,123269
2023-04,323,123592
2023-05,5162,128754
2023-06,1124,129878
2023-07,2874,132752
2023-08,2820,135572
2023-09,1033,136605
2023-10,173,136778
2023-11,362,137140
2023-12,650,137790
2024-01,162,137952
2024-02,3095,141047
2024-03,142,141189
2024-04,1117,142306
2024-05,103,142409
2024-06,618,143027
2024-07,1706,144733
2024-08,3682,148415
2024-09,696,149111
2024-10,31023,180134
