Date,Monthly Value,Accumulated Value
2015-01,2,2
2015-02,26,28
2015-05,10,38
2015-08,33,71
2015-10,18,89
2015-11,23,112
2015-12,10,122
2016-04,1,123
2016-05,19,142
2016-07,37,179
2016-08,66,245
2016-09,81,326
2017-04,30,356
2017-07,3,359
2017-12,7,366
2018-01,443,809
2018-02,176,985
2018-04,1,986
2018-05,8,994
2018-06,44,1038
2018-07,36,1074
2018-08,328,1402
2018-09,18,1420
2018-10,49,1469
2018-11,212,1681
2018-12,18,1699
2019-01,83,1782
2019-02,60,1842
2019-03,4230,6072
2019-04,3774,9846
2019-05,371,10217
2019-06,335,10552
2019-07,2,10554
2019-10,16,10570
2019-11,8,10578
2019-12,72,10650
2020-01,122,10772
2020-02,36,10808
2020-03,113,10921
2020-04,35,10956
2020-05,36,10992
2020-06,1,10993
2020-07,26,11019
2020-09,68,11087
2020-10,199,11286
2020-11,41,11327
2020-12,242,11569
2021-01,614,12183
2021-02,21,12204
2021-03,4030,16234
2021-04,84,16318
2021-05,8,16326
2021-06,493,16819
2021-07,22,16841
2021-08,721,17562
2021-09,174,17736
2021-10,4,17740
2021-11,471,18211
2021-12,30,18241
2022-01,88,18329
2022-02,302,18631
2022-03,1587,20218
2022-04,40,20258
2022-05,5871,26129
2022-06,181,26310
2022-07,188,26498
2022-08,320,26818
2022-09,61,26879
2022-10,115,26994
2022-11,17,27011
2022-12,4,27015
2023-01,12,27027
2023-02,38,27065
2023-03,63,27128
2023-04,99,27227
2023-05,2802,30029
2023-06,254,30283
2023-07,727,31010
2023-08,1003,32013
2023-09,149,32162
2023-10,151,32313
2023-11,14,32327
2023-12,74,32401
2024-01,34,32435
2024-02,794,33229
2024-03,47,33276
2024-04,297,33573
2024-05,25,33598
2024-06,406,34004
2024-07,495,34499
2024-08,1341,35840
2024-09,112,35952
2024-10,18909,54861
