Date,Monthly Value,Accumulated Value
2015-03,58,58
2015-05,1,59
2015-06,2,61
2015-08,179,240
2015-11,5,245
2015-12,35,280
2016-01,2,282
2016-03,2,284
2016-07,61,345
2016-09,1,346
2017-05,72,418
2017-07,1367,1785
2017-11,2,1787
2017-12,5,1792
2018-07,7,1799
2019-03,2,1801
2019-06,1,1802
2020-09,2,1804
2020-11,1,1805
2020-12,11,1816
2021-07,45,1861
2021-09,1,1862
2021-12,2,1864
2022-07,1154,3018
2022-09,1,3019
2022-10,2,3021
2023-03,1,3022
2023-04,6,3028
2023-07,96,3124
2023-11,1,3125
2023-12,1,3126
2024-01,3,3129
2024-07,7,3136
2024-08,350,3486
