Date,Monthly Value,Accumulated Value
2015-01,13,13
2015-02,8,21
2015-03,17,38
2015-04,6,44
2015-05,19,63
2015-06,13,76
2015-07,17,93
2015-08,20,113
2015-09,19,132
2015-10,6,138
2015-11,14,152
2015-12,16,168
2016-01,10,178
2016-02,14,192
2016-03,9,201
2016-04,22,223
2016-05,14,237
2016-06,19,256
2016-07,21,277
2016-08,13,290
2016-09,12,302
2016-10,14,316
2016-11,17,333
2016-12,18,351
2017-01,16,367
2017-02,10,377
2017-03,25,402
2017-04,13,415
2017-05,19,434
2017-06,9,443
2017-07,21,464
2017-08,22,486
2017-09,8,494
2017-10,16,510
2017-11,14,524
2017-12,23,547
2018-01,15,562
2018-02,5,567
2018-03,14,581
2018-04,21,602
2018-05,19,621
2018-06,9,630
2018-07,21,651
2018-08,11,662
2018-09,10,672
2018-10,13,685
2018-11,4,689
2018-12,13,702
2019-01,18,720
2019-02,7,727
2019-03,21,748
2019-04,16,764
2019-05,9,773
2019-06,13,786
2019-07,15,801
2019-08,9,810
2019-09,13,823
2019-10,8,831
2019-11,9,840
2019-12,13,853
2020-01,10,863
2020-02,11,874
2020-03,9,883
2020-04,11,894
2020-05,13,907
2020-06,10,917
2020-07,5,922
2020-08,10,932
2020-09,6,938
2020-10,8,946
2020-11,9,955
2020-12,11,966
2021-01,3,969
2021-02,7,976
2021-03,5,981
2021-04,9,990
2021-05,3,993
2021-06,6,999
2021-07,3,1002
2021-08,5,1007
2021-09,11,1018
2021-10,9,1027
2021-11,7,1034
2021-12,11,1045
2022-01,3,1048
2022-02,5,1053
2022-03,5,1058
2022-04,3,1061
2022-05,7,1068
2022-06,5,1073
2022-07,4,1077
2022-08,3,1080
2022-09,5,1085
2022-10,6,1091
2022-11,1,1092
2022-12,3,1095
2023-01,4,1099
2023-02,5,1104
2023-03,2,1106
2023-04,6,1112
2023-05,2,1114
2023-06,1,1115
2023-07,4,1119
2023-08,5,1124
2023-09,8,1132
2023-10,4,1136
2023-11,5,1141
2023-12,4,1145
2024-01,5,1150
2024-02,1,1151
2024-03,1,1152
2024-04,2,1154
2024-05,4,1158
2024-06,5,1163
2024-07,3,1166
2024-08,2,1168
2024-09,2,1170
2024-10,3,1173
