Date,Monthly Value,Accumulated Value
2015-01,4,4
2015-03,2,6
2015-04,2,8
2015-05,2,10
2015-07,1,11
2015-08,1,12
2015-09,1,13
2015-11,1,14
2015-12,1,15
2016-03,1,16
2016-04,3,19
2016-05,2,21
2016-06,1,22
2016-07,1,23
2016-08,1,24
2016-09,1,25
2016-10,2,27
2016-12,1,28
2017-01,1,29
2017-05,1,30
2017-07,1,31
2017-09,3,34
2017-10,3,37
2017-11,1,38
2017-12,1,39
2018-01,3,42
2018-02,3,45
2018-03,1,46
2018-04,1,47
2018-05,2,49
2018-06,1,50
2018-07,3,53
2018-08,1,54
2018-09,1,55
2018-10,1,56
2019-05,1,57
2019-07,1,58
2019-09,1,59
2019-11,1,60
2020-01,3,63
2020-02,4,67
2020-03,2,69
2020-04,1,70
2020-06,3,73
2020-07,5,78
2020-08,1,79
2020-10,5,84
2020-11,1,85
2021-03,3,88
2021-05,2,90
2021-06,4,94
2021-09,1,95
2021-11,2,97
2022-03,2,99
2022-04,1,100
2022-06,4,104
2022-09,2,106
2022-11,1,107
2022-12,1,108
2023-02,1,109
2023-03,1,110
2023-07,1,111
2023-09,2,113
2024-01,1,114
2024-02,2,116
2024-05,1,117
2024-08,1,118
