Date,Monthly Value,Accumulated Value
2015-01,1,1
2015-03,1,2
2015-07,4,6
2015-09,1,7
2015-11,1,8
2016-01,1,9
2016-02,2,11
2016-06,1,12
2016-10,3,15
2016-11,1,16
2017-02,1,17
2017-05,1,18
2017-06,1,19
2017-08,3,22
2017-09,1,23
2018-02,2,25
2018-03,1,26
2018-04,1,27
2018-06,1,28
2018-09,1,29
2018-10,1,30
2018-11,2,32
2018-12,1,33
2019-01,7,40
2019-03,1,41
2019-04,3,44
2019-05,1,45
2019-06,2,47
2019-08,2,49
2019-09,2,51
2019-11,4,55
2020-01,1,56
2020-03,2,58
2020-05,4,62
2020-06,2,64
2020-07,1,65
2021-03,1,66
2021-07,1,67
2021-09,1,68
2021-11,1,69
2021-12,1,70
2022-02,1,71
2022-03,1,72
2022-05,1,73
2022-08,2,75
2023-05,1,76
2023-06,2,78
2023-09,2,80
2023-11,1,81
2023-12,1,82
2024-09,1,83
2024-10,1,84
